subject_id,scenario_label,action_condition,intimacy,stage,response
0d4ed27a-7529-533b-a88a-6dd16772a354,apples,action_2,50,posterior,67
0d4ed27a-7529-533b-a88a-6dd16772a354,apples,action_2,50,prior,31
0d4ed27a-7529-533b-a88a-6dd16772a354,basketball,action_1,75,posterior,27
0d4ed27a-7529-533b-a88a-6dd16772a354,basketball,action_1,75,prior,29
0d4ed27a-7529-533b-a88a-6dd16772a354,birthday,action_1,100,posterior,27
0d4ed27a-7529-533b-a88a-6dd16772a354,birthday,action_1,100,prior,23
0d4ed27a-7529-533b-a88a-6dd16772a354,brunch,action_2,0,posterior,70
0d4ed27a-7529-533b-a88a-6dd16772a354,brunch,action_2,0,prior,23
0d4ed27a-7529-533b-a88a-6dd16772a354,cooking,action_1,0,posterior,33
0d4ed27a-7529-533b-a88a-6dd16772a354,cooking,action_1,0,prior,32
0d4ed27a-7529-533b-a88a-6dd16772a354,dip,action_2,100,posterior,58
0d4ed27a-7529-533b-a88a-6dd16772a354,dip,action_2,100,prior,74
0d4ed27a-7529-533b-a88a-6dd16772a354,drinks,action_2,0,posterior,70
0d4ed27a-7529-533b-a88a-6dd16772a354,drinks,action_2,0,prior,24
0d4ed27a-7529-533b-a88a-6dd16772a354,driving,action_1,0,posterior,27
0d4ed27a-7529-533b-a88a-6dd16772a354,driving,action_1,0,prior,24
0d4ed27a-7529-533b-a88a-6dd16772a354,fair,action_1,50,posterior,26
0d4ed27a-7529-533b-a88a-6dd16772a354,fair,action_1,50,prior,28
0d4ed27a-7529-533b-a88a-6dd16772a354,gala,action_2,50,posterior,70
0d4ed27a-7529-533b-a88a-6dd16772a354,gala,action_2,50,prior,22
0d4ed27a-7529-533b-a88a-6dd16772a354,hike,action_1,100,posterior,20
0d4ed27a-7529-533b-a88a-6dd16772a354,hike,action_1,100,prior,73
0d4ed27a-7529-533b-a88a-6dd16772a354,oysters,action_1,50,posterior,25
0d4ed27a-7529-533b-a88a-6dd16772a354,oysters,action_1,50,prior,24
0d4ed27a-7529-533b-a88a-6dd16772a354,social,action_1,75,posterior,31
0d4ed27a-7529-533b-a88a-6dd16772a354,social,action_1,75,prior,28
0d4ed27a-7529-533b-a88a-6dd16772a354,soup,action_2,75,posterior,69
0d4ed27a-7529-533b-a88a-6dd16772a354,soup,action_2,75,prior,30
0d4ed27a-7529-533b-a88a-6dd16772a354,takeout,action_2,100,posterior,64
0d4ed27a-7529-533b-a88a-6dd16772a354,takeout,action_2,100,prior,19
0d4ed27a-7529-533b-a88a-6dd16772a354,wedding,action_2,75,posterior,64
0d4ed27a-7529-533b-a88a-6dd16772a354,wedding,action_2,75,prior,31
128d61a2-9e54-5c77-99be-21d66f58407b,apples,action_1,50,posterior,10
128d61a2-9e54-5c77-99be-21d66f58407b,apples,action_1,50,prior,9
128d61a2-9e54-5c77-99be-21d66f58407b,basketball,action_1,75,posterior,3
128d61a2-9e54-5c77-99be-21d66f58407b,basketball,action_1,75,prior,97
128d61a2-9e54-5c77-99be-21d66f58407b,birthday,action_1,100,posterior,7
128d61a2-9e54-5c77-99be-21d66f58407b,birthday,action_1,100,prior,94
128d61a2-9e54-5c77-99be-21d66f58407b,brunch,action_2,0,posterior,92
128d61a2-9e54-5c77-99be-21d66f58407b,brunch,action_2,0,prior,5
128d61a2-9e54-5c77-99be-21d66f58407b,cooking,action_2,0,posterior,94
128d61a2-9e54-5c77-99be-21d66f58407b,cooking,action_2,0,prior,8
128d61a2-9e54-5c77-99be-21d66f58407b,dip,action_1,100,posterior,7
128d61a2-9e54-5c77-99be-21d66f58407b,dip,action_1,100,prior,93
128d61a2-9e54-5c77-99be-21d66f58407b,drinks,action_1,0,posterior,6
128d61a2-9e54-5c77-99be-21d66f58407b,drinks,action_1,0,prior,6
128d61a2-9e54-5c77-99be-21d66f58407b,driving,action_1,0,posterior,3
128d61a2-9e54-5c77-99be-21d66f58407b,driving,action_1,0,prior,5
128d61a2-9e54-5c77-99be-21d66f58407b,fair,action_1,50,posterior,6
128d61a2-9e54-5c77-99be-21d66f58407b,fair,action_1,50,prior,5
128d61a2-9e54-5c77-99be-21d66f58407b,gala,action_2,50,posterior,96
128d61a2-9e54-5c77-99be-21d66f58407b,gala,action_2,50,prior,3
128d61a2-9e54-5c77-99be-21d66f58407b,hike,action_2,100,posterior,10
128d61a2-9e54-5c77-99be-21d66f58407b,hike,action_2,100,prior,93
128d61a2-9e54-5c77-99be-21d66f58407b,oysters,action_2,50,posterior,93
128d61a2-9e54-5c77-99be-21d66f58407b,oysters,action_2,50,prior,7
128d61a2-9e54-5c77-99be-21d66f58407b,social,action_2,75,posterior,96
128d61a2-9e54-5c77-99be-21d66f58407b,social,action_2,75,prior,8
128d61a2-9e54-5c77-99be-21d66f58407b,soup,action_1,75,posterior,5
128d61a2-9e54-5c77-99be-21d66f58407b,soup,action_1,75,prior,6
128d61a2-9e54-5c77-99be-21d66f58407b,takeout,action_2,100,posterior,6
128d61a2-9e54-5c77-99be-21d66f58407b,takeout,action_2,100,prior,94
128d61a2-9e54-5c77-99be-21d66f58407b,wedding,action_2,75,posterior,95
128d61a2-9e54-5c77-99be-21d66f58407b,wedding,action_2,75,prior,4
299655a6-5ca4-5c16-b99f-5cd019cc785c,apples,action_2,75,posterior,50
299655a6-5ca4-5c16-b99f-5cd019cc785c,apples,action_2,75,prior,45
299655a6-5ca4-5c16-b99f-5cd019cc785c,basketball,action_2,50,posterior,50
299655a6-5ca4-5c16-b99f-5cd019cc785c,basketball,action_2,50,prior,50
299655a6-5ca4-5c16-b99f-5cd019cc785c,birthday,action_2,75,posterior,52
299655a6-5ca4-5c16-b99f-5cd019cc785c,birthday,action_2,75,prior,55
299655a6-5ca4-5c16-b99f-5cd019cc785c,brunch,action_2,100,posterior,50
