experiment,model,restart,nll,init_w_v,param_w_v,init_w_d,param_w_d,init_w_e,param_w_e,init_gamma,param_gamma,init_alpha_observer,param_alpha_observer
food_inv_desire,full,0,1376.964111328125,1.0,0.5977192521095276,1.0,13.067614555358887,1.0,15.037168502807617,1.0,9.999999974752427e-07,1.0,8.218986511230469
food_inv_desire,full,1,1376.957763671875,1.0648832321166992,0.6316054463386536,0.9360817670822144,13.355664253234863,1.377418875694275,15.378830909729004,1.0538499355316162,9.999999974752427e-07,0.7650342583656311,7.776192665100098
food_inv_desire,full,2,1376.87646484375,1.1981725692749023,0.7141302227973938,1.9193757772445679,14.719475746154785,1.6056690216064453,16.995983123779297,0.7033732533454895,9.999999974752427e-07,0.5311500430107117,6.869808673858643
food_inv_desire,full,3,1377.0,0.7322471141815186,0.6399677395820618,1.0208779573440552,13.017252922058105,0.312698632478714,14.933627128601074,0.8963755369186401,9.999999974752427e-07,0.5363569259643555,7.67674446105957
food_inv_desire,full,4,1376.930419921875,0.6934100985527039,0.5287824869155884,0.7617555856704712,12.939952850341797,0.8537216186523438,14.904966354370117,1.22852623462677,9.999999974752427e-07,1.6841427087783813,9.2913179397583
food_inv_desire,discomfort_only,0,1476.838623046875,,,1.0,1.0,,,1.0,1.0,1.0,1.0
food_inv_desire,discomfort_only,1,1476.838623046875,,,1.0648832321166992,0.9653461575508118,,,0.9360817670822144,1.0358331203460693,1.377418875694275,1.2774196863174438
food_inv_desire,discomfort_only,2,1476.8385009765625,,,1.0538499355316162,0.907209038734436,,,0.7650342583656311,0.7536603212356567,1.1981725692749023,0.8981205224990845
food_inv_desire,discomfort_only,3,1476.838623046875,,,1.9193757772445679,1.7281605005264282,,,1.6056690216064453,1.7958471775054932,0.7033732533454895,0.503425657749176
food_inv_desire,discomfort_only,4,1476.8385009765625,,,0.5311500430107117,0.43128693103790283,,,0.7322471141815186,0.8305332660675049,1.0208779573440552,0.9208788275718689
food_inv_desire,base,0,1391.160888671875,1.0,0.5157608389854431,,,1.0,14.276357650756836,,,1.0,10.004589080810547
food_inv_desire,base,1,1391.560302734375,1.0648832321166992,0.5207111835479736,,,0.9360817670822144,12.986699104309082,,,1.377418875694275,10.003549575805664
food_inv_desire,base,2,1391.463134765625,1.0538499355316162,0.5196000337600708,,,0.7650342583656311,13.277772903442383,,,1.1981725692749023,10.002168655395508
food_inv_desire,base,3,1390.73095703125,1.9193757772445679,0.5099424123764038,,,1.6056690216064453,16.038785934448242,,,0.7033732533454895,10.005016326904297
food_inv_desire,base,4,1391.281005859375,0.5311500430107117,0.5170751214027405,,,0.7322471141815186,13.855429649353027,,,1.0208779573440552,10.008716583251953
