scenario_label,action,n,empirical_stat,ci_lower,mean,ci_upper
basketball,0,29,0.2626447664466774,0.22174600951000556,0.2620999947028008,0.30489615296160383
basketball,1,29,0.3796088981834151,0.3348474758683675,0.3797706153731704,0.42399756394775373
basketball,2,29,0.20985892465955452,0.17709046467700687,0.2100180014469482,0.24420597708973918
basketball,3,29,0.14788741071035294,0.1270760421150087,0.14842931355710043,0.1739441042984389
birthday,0,29,0.24373660014711393,0.20694874814772565,0.24329916061907722,0.2804315700102271
birthday,1,29,0.3534964786949669,0.32615796107975065,0.35425545685417387,0.3847858383492681
birthday,2,29,0.2573529046729366,0.23621764956565303,0.257556497919169,0.27890120407213925
birthday,3,29,0.14541401648498253,0.12157596022772191,0.14494647495953064,0.17021705853399582
brunch,0,29,0.2654835445149847,0.22702615804911921,0.26406470980928975,0.30185602448698967
brunch,1,29,0.27852770679849786,0.2442135085813322,0.2782286333932243,0.30978694940377943
brunch,2,29,0.26893182037705365,0.24200381075725746,0.2686633915728549,0.29327243786586343
brunch,3,29,0.1870569283094638,0.16089440769420715,0.18645222635876368,0.21313360160983585
conference,0,29,0.2713307880570611,0.23066061207336108,0.2715987423292571,0.3107859023895208
conference,1,29,0.3683441434015257,0.34288397047741687,0.3684243288642275,0.39237261301741894
conference,2,29,0.24048505259138334,0.20762416870541933,0.2402524065522227,0.2717574785943719
conference,3,29,0.11984001595002983,0.0946934303643016,0.11999827209694529,0.15236962113751973
cooking,0,29,0.15635605157330362,0.12548225263993681,0.1567037418749462,0.194933343433067
cooking,1,29,0.4341318450478267,0.3838951635364142,0.432733918715955,0.4751971445746714
cooking,2,29,0.23259235885877286,0.19347622783087592,0.23133681902893727,0.26722184847520436
cooking,3,29,0.17691974452009682,0.14748684897129904,0.17624180164794218,0.20411201631363032
crabs,0,29,0.22657849058478466,0.19109720113499462,0.2255122674388703,0.25950940591917826
crabs,1,29,0.4018272671175786,0.3609207828364156,0.4016842957365796,0.44246098460831784
crabs,2,29,0.19954468960707328,0.1682044861054517,0.19945029925951333,0.22956815613740958
crabs,3,29,0.17204955269056346,0.14527241909606944,0.17151098969194442,0.19677083640020335
dip,0,29,0.3657950829931906,0.33289137028791593,0.3666058209662296,0.4037439453176683
dip,1,29,0.29896855350460977,0.2796454830010616,0.2982365564350211,0.3160515707092553
dip,2,29,0.21226302340072467,0.1876344218742187,0.21285597208641172,0.23897844197334842
dip,3,29,0.12297334010147495,0.10048700000335062,0.12379598447581745,0.1482794229528716
drinks,0,29,0.33325984198515424,0.27811662604236553,0.33276186844319994,0.3914436074762957
drinks,1,29,0.2983232980262445,0.2632256335304908,0.29760170106764344,0.3309523455119853
drinks,2,29,0.19874209978405558,0.1650232828144065,0.19832961261761478,0.23132309199398227
drinks,3,29,0.1696747602045456,0.14133177962799634,0.1702629096686449,0.20017735594237693
driving,0,29,0.29242066931561966,0.2524236556848233,0.2917412071258914,0.338687861818095
driving,1,29,0.36740007839212496,0.32995536426937355,0.3669134642624057,0.39902503568988074
driving,2,29,0.20080241929286446,0.17004806029996475,0.20089676973392862,0.23411414526276422
driving,3,29,0.1393768329993909,0.11188701387123326,0.13966212060400826,0.17079710377883053
fair,0,29,0.2775624279934625,0.24633848235098235,0.2779297713329293,0.3072223632022739
fair,1,29,0.37304271399098987,0.34301024287709075,0.37322268299505357,0.40597409566443654
fair,2,29,0.20458899338209682,0.18502551268176268,0.20475530129231506,0.2253406204957216
fair,3,29,0.14480586463345083,0.12138204030716108,0.14484653719375337,0.1711332558810237
gala,0,29,0.30678407606232394,0.2629852369623629,0.3065294483633347,0.36140953874447085
gala,1,29,0.2903103375089325,0.2654102553712413,0.2904704341938407,0.3111244336300927
gala,2,29,0.2631238389511536,0.2394402060645099,0.26327083846476385,0.2872902280408652
gala,3,29,0.13978174747758995,0.11613075601867202,0.1398650979852333,0.1654227438863241
hike,0,29,0.3634996853436589,0.3261555330042926,0.3645463648892977,0.40036918224048157
hike,1,29,0.3283615350285575,0.30363348268122026,0.3285740580157441,0.35171424409316804
hike,2,29,0.17439537571783756,0.15237776520268137,0.17485302015021947,0.19853478308705103
hike,3,29,0.13374340390994602,0.1142456291203484,0.13366502693079885,0.15554291335769446
oysters,0,29,0.36693324364804025,0.31647802827970156,0.3677067831591466,0.4231449107250709
oysters,1,29,0.28818934348452874,0.24737819889750073,0.2880863411235338,0.3257868565351806
oysters,2,29,0.1898147297408,0.16789320519593354,0.19071799348288263,0.21252540144308857
