experiment,variant,fold,held_out_scenario,alpha_observer,train_nll,test_nll,n_train,n_test,param_w_v,param_w_d,param_w_e,param_gamma
food_inv_intimacy_desire_noalt,full_padded,0,apples,1.6359997987747192,1933.8004150390625,120.10724377632141,435,29,0.30955520272254944,1.6246684789657593,1.3082252740859985,0.9261246919631958
food_inv_intimacy_desire_noalt,full_padded,1,basketball,1.654178261756897,1925.83056640625,129.61720848083496,435,29,0.3071570098400116,1.6445322036743164,1.4070158004760742,0.8228902220726013
food_inv_intimacy_desire_noalt,full_padded,2,birthday,1.6501301527023315,1926.3546142578125,128.52928352355957,435,29,0.3047875463962555,1.6399017572402954,1.4028888940811157,0.8635001182556152
food_inv_intimacy_desire_noalt,full_padded,3,brunch,1.660353422164917,1922.7833251953125,133.67420291900635,435,29,0.3130924105644226,1.64802086353302,1.411163091659546,0.7605350017547607
food_inv_intimacy_desire_noalt,full_padded,4,cooking,1.654094934463501,1925.1309814453125,130.1626443862915,435,29,0.31695792078971863,1.6422977447509766,1.3941901922225952,0.8286889791488647
food_inv_intimacy_desire_noalt,full_padded,5,dip,1.67185378074646,1927.99072265625,126.26784658432007,435,29,0.26216426491737366,1.6641550064086914,1.3824056386947632,1.0478475093841553
food_inv_intimacy_desire_noalt,full_padded,6,drinks,1.6904438734054565,1920.09033203125,135.87605834007263,435,29,0.3140660524368286,1.6815539598464966,1.4209773540496826,0.8767089247703552
food_inv_intimacy_desire_noalt,full_padded,7,driving,1.6215767860412598,1928.8018798828125,125.92148733139038,435,29,0.34164345264434814,1.6140002012252808,1.4499969482421875,0.8327723145484924
food_inv_intimacy_desire_noalt,full_padded,8,fair,1.6470222473144531,1926.782958984375,127.59600043296814,435,29,0.3168673515319824,1.6368781328201294,1.412047266960144,0.9205085039138794
food_inv_intimacy_desire_noalt,full_padded,9,gala,1.6516906023025513,1927.6334228515625,126.90937876701355,435,29,0.3482759892940521,1.6429959535598755,1.439557671546936,0.9227092862129211
food_inv_intimacy_desire_noalt,full_padded,10,hike,1.6247190237045288,1927.1912841796875,128.1353600025177,435,29,0.3559426963329315,1.6142261028289795,1.4015403985977173,0.7679930925369263
food_inv_intimacy_desire_noalt,full_padded,11,oysters,1.6815608739852905,1922.0906982421875,133.12507939338684,435,29,0.2733834683895111,1.6716160774230957,1.404879093170166,0.9202420115470886
food_inv_intimacy_desire_noalt,full_padded,12,social,1.6572082042694092,1928.1298828125,123.20145440101624,435,29,9.999999974752427e-07,1.5414677858352661,9.999999974752427e-07,0.918900191783905
food_inv_intimacy_desire_noalt,full_padded,13,soup,1.6248260736465454,1926.751220703125,128.1941213607788,435,29,0.347562700510025,1.616410732269287,1.4107164144515991,0.8056725263595581
food_inv_intimacy_desire_noalt,full_padded,14,takeout,1.7161473035812378,1922.1187744140625,129.32725977897644,435,29,9.999999974752427e-07,1.5996402502059937,9.999999974752427e-07,1.001279592514038
food_inv_intimacy_desire_noalt,full_padded,15,wedding,1.6287153959274292,1923.96435546875,131.6873903274536,435,29,0.37438464164733887,1.622065782546997,1.457119345664978,0.7639110088348389
food_inv_intimacy_desire_noalt,discomfort_only_padded,0,apples,1.6549330949783325,1931.152099609375,120.3016529083252,435,29,,1.6460764408111572,,0.9986640810966492
food_inv_intimacy_desire_noalt,discomfort_only_padded,1,basketball,1.669523000717163,1922.46533203125,129.4660336971283,435,29,,1.6619991064071655,,0.8920581936836243
food_inv_intimacy_desire_noalt,discomfort_only_padded,2,birthday,1.6658928394317627,1923.1673583984375,128.48348712921143,435,29,,1.6579411029815674,,0.9392207264900208
food_inv_intimacy_desire_noalt,discomfort_only_padded,3,brunch,1.699662208557129,1919.577392578125,133.3377718925476,435,29,,1.686773657798767,,0.8437500596046448
food_inv_intimacy_desire_noalt,discomfort_only_padded,4,cooking,1.6966609954833984,1921.5648193359375,130.50828981399536,435,29,,1.6857537031173706,,0.9489429593086243
food_inv_intimacy_desire_noalt,discomfort_only_padded,5,dip,1.6661205291748047,1925.390869140625,126.20282411575317,435,29,,1.6624704599380493,,1.037213921546936
food_inv_intimacy_desire_noalt,discomfort_only_padded,6,drinks,1.7297531366348267,1917.5777587890625,135.23072171211243,435,29,,1.7233062982559204,,0.966636598110199
food_inv_intimacy_desire_noalt,discomfort_only_padded,7,driving,1.661990761756897,1925.923828125,125.71206855773926,435,29,,1.6548423767089844,,0.9314209818840027
food_inv_intimacy_desire_noalt,discomfort_only_padded,8,fair,1.6639000177383423,1924.020263671875,127.5214490890503,435,29,,1.6568353176116943,,0.9813317656517029
food_inv_intimacy_desire_noalt,discomfort_only_padded,9,gala,1.6641253232955933,1925.69091796875,125.90690302848816,435,29,,1.6591289043426514,,0.957444429397583
food_inv_intimacy_desire_noalt,discomfort_only_padded,10,hike,1.6627984046936035,1924.240234375,127.71915125846863,435,29,,1.6514277458190918,,0.8666148781776428
food_inv_intimacy_desire_noalt,discomfort_only_padded,11,oysters,1.7001968622207642,1919.2957763671875,132.80790853500366,435,29,,1.6939101219177246,,0.9705712795257568
food_inv_intimacy_desire_noalt,discomfort_only_padded,12,social,1.6954542398452759,1928.508056640625,123.3841245174408,435,29,,1.6847035884857178,,1.0592151880264282
food_inv_intimacy_desire_noalt,discomfort_only_padded,13,soup,1.6637135744094849,1923.7896728515625,127.88870239257812,435,29,,1.6546050310134888,,0.9223049879074097
food_inv_intimacy_desire_noalt,discomfort_only_padded,14,takeout,1.7067813873291016,1922.4237060546875,129.68804359436035,435,29,,1.6998339891433716,,1.010693073272705
food_inv_intimacy_desire_noalt,discomfort_only_padded,15,wedding,1.664311408996582,1921.4119873046875,130.61139035224915,435,29,,1.6577423810958862,,0.8673375844955444
food_inv_intimacy_desire_noalt,base_padded,0,apples,0.900002658367157,2007.57763671875,133.8384919166565,435,29,0.9781336784362793,,1.098621129989624,
food_inv_intimacy_desire_noalt,base_padded,1,basketball,0.9000009298324585,2007.57763671875,133.8384919166565,435,29,0.9114060997962952,,1.0343694686889648,
food_inv_intimacy_desire_noalt,base_padded,2,birthday,0.8999969959259033,2007.57763671875,133.8384919166565,435,29,1.0910857915878296,,1.041215181350708,
food_inv_intimacy_desire_noalt,base_padded,3,brunch,0.9000004529953003,2007.57763671875,133.83850049972534,435,29,0.9888026714324951,,0.9004954695701599,
food_inv_intimacy_desire_noalt,base_padded,4,cooking,0.9000065326690674,2007.57763671875,133.83849811553955,435,29,1.0567437410354614,,1.0943413972854614,
food_inv_intimacy_desire_noalt,base_padded,5,dip,0.9000014662742615,2007.577392578125,133.83849000930786,435,29,0.9846215844154358,,1.096799373626709,
food_inv_intimacy_desire_noalt,base_padded,6,drinks,0.9000002145767212,2007.577392578125,133.8384919166565,435,29,0.9621387124061584,,0.9402527809143066,
food_inv_intimacy_desire_noalt,base_padded,7,driving,0.8999975919723511,2007.57763671875,133.83849573135376,435,29,1.091534972190857,,1.0417990684509277,
food_inv_intimacy_desire_noalt,base_padded,8,fair,0.8999955058097839,2007.57763671875,133.83850145339966,435,29,0.9604339599609375,,0.900816023349762,
food_inv_intimacy_desire_noalt,base_padded,9,gala,0.9000014662742615,2007.577392578125,133.83849000930786,435,29,1.0176998376846313,,1.026352882385254,
food_inv_intimacy_desire_noalt,base_padded,10,hike,0.9000023007392883,2007.577392578125,133.8384919166565,435,29,1.04184889793396,,1.0992794036865234,
