subject_id,scenario_label,action_0,action_1,action_2,action_3
70e5610f-8779-5ef7-9648-19c14ab650af,soup,0,2,1,1
70e5610f-8779-5ef7-9648-19c14ab650af,social,0,1,1,1
70e5610f-8779-5ef7-9648-19c14ab650af,cooking,0,1,2,0
70e5610f-8779-5ef7-9648-19c14ab650af,drinks,1,1,1,0
70e5610f-8779-5ef7-9648-19c14ab650af,driving,0,1,3,2
70e5610f-8779-5ef7-9648-19c14ab650af,conference,0,2,1,3
70e5610f-8779-5ef7-9648-19c14ab650af,brunch,0,2,1,1
70e5610f-8779-5ef7-9648-19c14ab650af,oysters,0,3,4,4
70e5610f-8779-5ef7-9648-19c14ab650af,fair,0,3,1,2
70e5610f-8779-5ef7-9648-19c14ab650af,wedding,0,2,1,1
70e5610f-8779-5ef7-9648-19c14ab650af,hike,0,2,1,1
70e5610f-8779-5ef7-9648-19c14ab650af,dip,1,1,1,4
70e5610f-8779-5ef7-9648-19c14ab650af,crabs,0,3,3,3
70e5610f-8779-5ef7-9648-19c14ab650af,basketball,0,3,2,2
70e5610f-8779-5ef7-9648-19c14ab650af,gala,0,1,1,2
70e5610f-8779-5ef7-9648-19c14ab650af,birthday,0,1,1,2
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,hike,1,2,2,2
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,drinks,2,2,2,2
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,birthday,2,2,2,2
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,brunch,0,2,2,2
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,soup,1,3,3,2
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,gala,0,2,2,2
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,fair,2,3,2,3
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,driving,1,2,2,2
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,cooking,2,3,3,2
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,conference,0,2,1,2
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,basketball,1,2,2,2
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,dip,2,2,2,3
