scenario_label,closeness_condition,closeness,action,n,empirical_stat,ci_lower,mean,ci_upper
social,not_close,0,3,25,6.04,5.576630434782609,6.0476899322558575,6.524047619047619
social,somewhat_close,1,0,23,1.173913043478261,1,1.1749835765039682,1.5
social,somewhat_close,1,1,23,2.782608695652174,2.0661904761904766,2.7839496040152425,3.5716165413533836
social,somewhat_close,1,2,23,3.652173913043478,3,3.664503239534234,4.375
social,somewhat_close,1,3,23,4.782608695652174,4,4.768431272177189,5.612965260545906
social,close,2,0,19,1.1578947368421053,1,1.1626414316050404,1.4285714285714286
social,close,2,1,19,2.5789473684210527,1.8075,2.5679336328012106,3.4121848739495793
social,close,2,2,19,3.6842105263157894,2.818039772727273,3.677090653179943,4.571428571428571
social,close,2,3,19,5.052631578947368,4.149821428571428,5.045282303006882,5.857142857142857
social,extremely_close,3,0,22,1.1363636363636362,1,1.1411896056346882,1.4736842105263157
social,extremely_close,3,1,22,2.2272727272727275,1.5908422459893046,2.2326478017482994,3
social,extremely_close,3,2,22,2.6818181818181817,1.8998684210526315,2.6899379709179696,3.6087560386473427
social,extremely_close,3,3,22,4.090909090909091,3.1666666666666665,4.091254156501612,5
soup,not_close,0,0,20,1.15,1,1.1507715390880742,1.4736842105263157
soup,not_close,0,1,20,1.6,1.1996875,1.603900175335003,2.066666666666667
soup,not_close,0,2,20,4.3,3.599705882352941,4.286196898525343,5
soup,not_close,0,3,20,5.6,4.866666666666666,5.5956145097763486,6.22736013986014
soup,somewhat_close,1,0,21,1.2380952380952381,1,1.2379915114789755,1.8823529411764703
soup,somewhat_close,1,1,21,1.5238095238095237,1.0998809523809523,1.5146450096110502,2.0770833333333334
soup,somewhat_close,1,2,21,3.4285714285714284,2.687276785714286,3.406881657297383,4.130507246376811
soup,somewhat_close,1,3,21,4.428571428571429,3.7271464646464643,4.434249010900199,5.125
soup,close,2,0,24,1.0416666666666667,1,1.045244177083662,1.1428571428571428
soup,close,2,1,24,1.5,1.1428571428571428,1.5008872542879277,1.9500595238095237
soup,close,2,2,24,3.2916666666666665,2.75975,3.300188122703359,3.909189723320158
soup,close,2,3,24,4.208333333333333,3.4990384615384618,4.2126918789926595,4.937746710526316
soup,extremely_close,3,0,24,1.2916666666666667,1,1.2870507921176615,1.619047619047619
soup,extremely_close,3,1,24,1.5416666666666665,1.1050125313283208,1.5504788415875417,2.136658249158249
soup,extremely_close,3,2,24,2.833333333333333,2.038362068965517,2.8120180347090744,3.620913154533844
soup,extremely_close,3,3,24,3.583333333333333,2.679666666666667,3.5885989563092595,4.522445652173913
wedding,not_close,0,0,23,1.0434782608695652,1,1.04409414674781,1.15
wedding,not_close,0,1,23,1.434782608695652,1.1599473684210526,1.4305704340787342,1.736842105263158
wedding,not_close,0,2,23,2.8260869565217392,2.2081250000000003,2.83844864403806,3.4788043478260864
wedding,not_close,0,3,23,5.782608695652174,5.185019841269841,5.787534633101642,6.375
wedding,somewhat_close,1,0,22,1.2272727272727273,1,1.2321969227692378,1.7059436274509803
wedding,somewhat_close,1,1,22,1.5909090909090908,1.1666666666666667,1.6005261710707528,2.2
wedding,somewhat_close,1,2,22,2.5,1.9473684210526314,2.4933865737007745,3.133409090909091
wedding,somewhat_close,1,3,22,4.7727272727272725,3.96,4.756925877588463,5.500543478260869
wedding,close,2,0,22,1.1818181818181819,1,1.1877270904905275,1.5
wedding,close,2,1,22,1.5454545454545454,1.1176470588235294,1.5537083691011788,2.154411764705882
wedding,close,2,2,22,1.9545454545454544,1.3886904761904761,1.958956305515773,2.6113095238095236
wedding,close,2,3,22,3.4545454545454546,2.6814393939393937,3.4364970796476135,4.190714285714286
wedding,extremely_close,3,0,22,1.2272727272727273,1,1.2248973988552334,1.5217908902691513
wedding,extremely_close,3,1,22,1.4545454545454546,1.1428571428571428,1.4549074307652456,1.8947368421052633
wedding,extremely_close,3,2,22,2,1.5788967611336033,2.0089624770679424,2.473684210526316
wedding,extremely_close,3,3,22,3.0454545454545454,2.3333333333333335,3.0648662059029803,3.8827941176470584
