subject_id,scenario_label,action_condition,effort_condition,intimacy_condition,stage,response
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,birthday,action_1,low,50,prior,85
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,birthday,action_1,low,50,posterior,100
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,drinks,action_0,high,75,prior,72
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,drinks,action_0,high,75,posterior,85
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,dip,action_2,low,75,prior,89
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,dip,action_2,low,75,posterior,98
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,basketball,action_1,high,100,prior,100
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,basketball,action_1,high,100,posterior,100
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,social,action_2,low,100,prior,88
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,social,action_2,low,100,posterior,100
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,hike,action_0,low,50,prior,50
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,hike,action_0,low,50,posterior,27
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,driving,action_0,high,0,prior,63
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,driving,action_0,high,0,posterior,50
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,oysters,action_1,low,0,prior,100
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,oysters,action_1,low,0,posterior,100
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,wedding,action_2,high,100,prior,94
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,wedding,action_2,high,100,posterior,100
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,cooking,action_1,low,75,prior,94
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,cooking,action_1,low,75,posterior,96
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,takeout,action_2,low,50,prior,83
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,takeout,action_2,low,50,posterior,100
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,gala,action_1,high,50,prior,72
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,gala,action_1,high,50,posterior,100
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,soup,action_0,low,75,prior,96
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,soup,action_0,low,75,posterior,2
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,fair,action_2,high,0,prior,84
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,fair,action_2,high,0,posterior,100
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,apples,action_2,low,0,prior,74
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,apples,action_2,low,0,posterior,100
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,brunch,action_1,high,75,prior,85
1bd33e6d-198d-5cdc-9cd0-028ae8f4727e,brunch,action_1,high,75,posterior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,birthday,action_1,low,75,prior,74
aaaad4ed-dc93-58f1-8083-cadc2f79065f,birthday,action_1,low,75,posterior,50
aaaad4ed-dc93-58f1-8083-cadc2f79065f,cooking,action_0,high,100,prior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,cooking,action_0,high,100,posterior,0
aaaad4ed-dc93-58f1-8083-cadc2f79065f,apples,action_1,low,100,prior,50
aaaad4ed-dc93-58f1-8083-cadc2f79065f,apples,action_1,low,100,posterior,50
aaaad4ed-dc93-58f1-8083-cadc2f79065f,basketball,action_2,low,50,prior,26
aaaad4ed-dc93-58f1-8083-cadc2f79065f,basketball,action_2,low,50,posterior,50
aaaad4ed-dc93-58f1-8083-cadc2f79065f,soup,action_1,high,50,prior,0
aaaad4ed-dc93-58f1-8083-cadc2f79065f,soup,action_1,high,50,posterior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,takeout,action_1,low,0,prior,50
aaaad4ed-dc93-58f1-8083-cadc2f79065f,takeout,action_1,low,0,posterior,50
aaaad4ed-dc93-58f1-8083-cadc2f79065f,brunch,action_2,high,100,prior,0
aaaad4ed-dc93-58f1-8083-cadc2f79065f,brunch,action_2,high,100,posterior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,social,action_2,high,0,prior,0
aaaad4ed-dc93-58f1-8083-cadc2f79065f,social,action_2,high,0,posterior,50
aaaad4ed-dc93-58f1-8083-cadc2f79065f,driving,action_0,high,0,prior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,driving,action_0,high,0,posterior,70
aaaad4ed-dc93-58f1-8083-cadc2f79065f,gala,action_2,low,75,prior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,gala,action_2,low,75,posterior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,hike,action_0,high,75,prior,50
aaaad4ed-dc93-58f1-8083-cadc2f79065f,hike,action_0,high,75,posterior,50
aaaad4ed-dc93-58f1-8083-cadc2f79065f,fair,action_2,low,0,prior,0
aaaad4ed-dc93-58f1-8083-cadc2f79065f,fair,action_2,low,0,posterior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,wedding,action_1,high,100,prior,73
aaaad4ed-dc93-58f1-8083-cadc2f79065f,wedding,action_1,high,100,posterior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,drinks,action_1,high,0,prior,22
aaaad4ed-dc93-58f1-8083-cadc2f79065f,drinks,action_1,high,0,posterior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,oysters,action_2,high,50,prior,74
aaaad4ed-dc93-58f1-8083-cadc2f79065f,oysters,action_2,high,50,posterior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,dip,action_0,low,50,prior,100
aaaad4ed-dc93-58f1-8083-cadc2f79065f,dip,action_0,low,50,posterior,0
9490e996-78b5-5a3c-9cc1-09e00e8f3927,birthday,action_2,low,75,prior,50
9490e996-78b5-5a3c-9cc1-09e00e8f3927,birthday,action_2,low,75,posterior,53
9490e996-78b5-5a3c-9cc1-09e00e8f3927,gala,action_0,low,75,prior,73
9490e996-78b5-5a3c-9cc1-09e00e8f3927,gala,action_0,low,75,posterior,39
9490e996-78b5-5a3c-9cc1-09e00e8f3927,drinks,action_1,low,0,prior,50
9490e996-78b5-5a3c-9cc1-09e00e8f3927,drinks,action_1,low,0,posterior,90
9490e996-78b5-5a3c-9cc1-09e00e8f3927,soup,action_2,high,75,prior,50
9490e996-78b5-5a3c-9cc1-09e00e8f3927,soup,action_2,high,75,posterior,100
9490e996-78b5-5a3c-9cc1-09e00e8f3927,apples,action_1,high,100,prior,65
9490e996-78b5-5a3c-9cc1-09e00e8f3927,apples,action_1,high,100,posterior,100
9490e996-78b5-5a3c-9cc1-09e00e8f3927,hike,action_2,low,100,prior,22
9490e996-78b5-5a3c-9cc1-09e00e8f3927,hike,action_2,low,100,posterior,19
9490e996-78b5-5a3c-9cc1-09e00e8f3927,driving,action_1,high,0,prior,63
9490e996-78b5-5a3c-9cc1-09e00e8f3927,driving,action_1,high,0,posterior,61
9490e996-78b5-5a3c-9cc1-09e00e8f3927,basketball,action_0,high,0,prior,74
9490e996-78b5-5a3c-9cc1-09e00e8f3927,basketball,action_0,high,0,posterior,20
9490e996-78b5-5a3c-9cc1-09e00e8f3927,oysters,action_0,low,0,prior,74
9490e996-78b5-5a3c-9cc1-09e00e8f3927,oysters,action_0,low,0,posterior,63
9490e996-78b5-5a3c-9cc1-09e00e8f3927,takeout,action_1,high,75,prior,71
9490e996-78b5-5a3c-9cc1-09e00e8f3927,takeout,action_1,high,75,posterior,88
9490e996-78b5-5a3c-9cc1-09e00e8f3927,wedding,action_0,high,50,prior,68
9490e996-78b5-5a3c-9cc1-09e00e8f3927,wedding,action_0,high,50,posterior,68
9490e996-78b5-5a3c-9cc1-09e00e8f3927,dip,action_1,low,100,prior,40
9490e996-78b5-5a3c-9cc1-09e00e8f3927,dip,action_1,low,100,posterior,70
9490e996-78b5-5a3c-9cc1-09e00e8f3927,social,action_1,low,50,prior,59
9490e996-78b5-5a3c-9cc1-09e00e8f3927,social,action_1,low,50,posterior,85
9490e996-78b5-5a3c-9cc1-09e00e8f3927,brunch,action_1,high,50,prior,50
9490e996-78b5-5a3c-9cc1-09e00e8f3927,brunch,action_1,high,50,posterior,78
9490e996-78b5-5a3c-9cc1-09e00e8f3927,cooking,action_2,high,0,prior,50
9490e996-78b5-5a3c-9cc1-09e00e8f3927,cooking,action_2,high,0,posterior,87
9490e996-78b5-5a3c-9cc1-09e00e8f3927,fair,action_0,low,100,prior,35
9490e996-78b5-5a3c-9cc1-09e00e8f3927,fair,action_0,low,100,posterior,11
d9206b10-3f29-50e1-b977-52c3a5e01f0b,hike,action_1,high,100,prior,25
d9206b10-3f29-50e1-b977-52c3a5e01f0b,hike,action_1,high,100,posterior,67
d9206b10-3f29-50e1-b977-52c3a5e01f0b,oysters,action_2,high,0,prior,76
d9206b10-3f29-50e1-b977-52c3a5e01f0b,oysters,action_2,high,0,posterior,75
d9206b10-3f29-50e1-b977-52c3a5e01f0b,wedding,action_2,high,100,prior,76
d9206b10-3f29-50e1-b977-52c3a5e01f0b,wedding,action_2,high,100,posterior,85
d9206b10-3f29-50e1-b977-52c3a5e01f0b,basketball,action_0,high,100,prior,86
d9206b10-3f29-50e1-b977-52c3a5e01f0b,basketball,action_0,high,100,posterior,20
d9206b10-3f29-50e1-b977-52c3a5e01f0b,apples,action_2,high,50,prior,76
d9206b10-3f29-50e1-b977-52c3a5e01f0b,apples,action_2,high,50,posterior,82
d9206b10-3f29-50e1-b977-52c3a5e01f0b,takeout,action_2,low,50,prior,78
d9206b10-3f29-50e1-b977-52c3a5e01f0b,takeout,action_2,low,50,posterior,88
d9206b10-3f29-50e1-b977-52c3a5e01f0b,dip,action_1,high,0,prior,77
d9206b10-3f29-50e1-b977-52c3a5e01f0b,dip,action_1,high,0,posterior,77
d9206b10-3f29-50e1-b977-52c3a5e01f0b,brunch,action_0,low,100,prior,86
d9206b10-3f29-50e1-b977-52c3a5e01f0b,brunch,action_0,low,100,posterior,18
d9206b10-3f29-50e1-b977-52c3a5e01f0b,drinks,action_0,high,75,prior,83
d9206b10-3f29-50e1-b977-52c3a5e01f0b,drinks,action_0,high,75,posterior,88
d9206b10-3f29-50e1-b977-52c3a5e01f0b,social,action_1,low,75,prior,70
d9206b10-3f29-50e1-b977-52c3a5e01f0b,social,action_1,low,75,posterior,79
d9206b10-3f29-50e1-b977-52c3a5e01f0b,fair,action_1,low,100,prior,72
d9206b10-3f29-50e1-b977-52c3a5e01f0b,fair,action_1,low,100,posterior,19
d9206b10-3f29-50e1-b977-52c3a5e01f0b,gala,action_0,high,0,prior,85
d9206b10-3f29-50e1-b977-52c3a5e01f0b,gala,action_0,high,0,posterior,25
d9206b10-3f29-50e1-b977-52c3a5e01f0b,soup,action_1,high,50,prior,78
d9206b10-3f29-50e1-b977-52c3a5e01f0b,soup,action_1,high,50,posterior,82
d9206b10-3f29-50e1-b977-52c3a5e01f0b,driving,action_0,high,50,prior,79
d9206b10-3f29-50e1-b977-52c3a5e01f0b,driving,action_0,high,50,posterior,82
d9206b10-3f29-50e1-b977-52c3a5e01f0b,cooking,action_0,low,50,prior,80
d9206b10-3f29-50e1-b977-52c3a5e01f0b,cooking,action_0,low,50,posterior,19
d9206b10-3f29-50e1-b977-52c3a5e01f0b,birthday,action_2,low,0,prior,75
d9206b10-3f29-50e1-b977-52c3a5e01f0b,birthday,action_2,low,0,posterior,81
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,soup,action_2,low,50,prior,6
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,soup,action_2,low,50,posterior,100
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,basketball,action_0,high,50,prior,100
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,basketball,action_0,high,50,posterior,9
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,birthday,action_1,low,50,prior,50
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,birthday,action_1,low,50,posterior,50
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,hike,action_0,high,100,prior,8
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,hike,action_0,high,100,posterior,3
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,dip,action_2,low,0,prior,8
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,dip,action_2,low,0,posterior,92
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,cooking,action_0,high,75,prior,96
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,cooking,action_0,high,75,posterior,9
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,oysters,action_0,low,75,prior,94
721863c7-9b6d-510a-bf58-e3d2bf06ddc7,oysters,action_0,low,75,posterior,7
