subject_id,scenario_label,intimacy_condition,reward_condition,action_0,action_1,action_2,action_3
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,sauna,75,high,0.14,0.14,0.37,0.35
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,towel,0,high,0.19,0.21,0.41,0.19
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,harmonica,50,low,0.16,0.33,0.35,0.16
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,navigation,0,low,0.16,0.33,0.31,0.2
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,locker-room,75,high,0.64,0.12,0.12,0.12
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,hat,0,high,0.15,0.15,0.4,0.3
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,breakup,100,low,0.66,0.18,0.08,0.08
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,chapstick,0,low,0.12,0.21,0.46,0.21
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,blanket,50,high,0.15,0.15,0.55,0.15
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,home,100,high,0.47,0.09,0.35,0.09
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,bed,75,low,0.12,0.12,0.24,0.52
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,hairbrush,50,low,0.73,0.09,0.09,0.09
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,sleeping-bag,75,low,0.1,0.51,0.29,0.1
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,sunscreen,50,high,0.13,0.24,0.28,0.35
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,gossip,100,high,0.14,0.2,0.41,0.25
66a3a06d-558b-5a29-8ca4-509d5a6a72f6,payment,100,low,0.38,0.34,0.14,0.14
61123e76-0a91-5ece-9403-c4e0f1b45b87,sauna,100,high,0,0,0.25,0.75
61123e76-0a91-5ece-9403-c4e0f1b45b87,sleeping-bag,75,high,0.08,0.28,0.42,0.22
61123e76-0a91-5ece-9403-c4e0f1b45b87,bed,100,low,0.47,0.04,0.04,0.45
61123e76-0a91-5ece-9403-c4e0f1b45b87,chapstick,50,low,0.22,0.34,0.3,0.14
61123e76-0a91-5ece-9403-c4e0f1b45b87,towel,50,low,0.5,0,0.5,0
61123e76-0a91-5ece-9403-c4e0f1b45b87,hat,50,high,0.11,0.2,0.28,0.41
61123e76-0a91-5ece-9403-c4e0f1b45b87,home,0,high,0.51,0,0.49,0
61123e76-0a91-5ece-9403-c4e0f1b45b87,breakup,100,high,0,0.08,0.47,0.45
61123e76-0a91-5ece-9403-c4e0f1b45b87,sunscreen,75,low,0,0.52,0.32,0.16
61123e76-0a91-5ece-9403-c4e0f1b45b87,locker-room,100,low,0.13,0.18,0.31,0.38
61123e76-0a91-5ece-9403-c4e0f1b45b87,blanket,75,high,0,0.12,0.34,0.54
61123e76-0a91-5ece-9403-c4e0f1b45b87,gossip,0,low,0.54,0.17,0.29,0
61123e76-0a91-5ece-9403-c4e0f1b45b87,payment,0,low,0.62,0.38,0,0
61123e76-0a91-5ece-9403-c4e0f1b45b87,hairbrush,50,high,0.06,0.11,0.41,0.42
61123e76-0a91-5ece-9403-c4e0f1b45b87,navigation,0,high,0.16,0.5,0.23,0.11
61123e76-0a91-5ece-9403-c4e0f1b45b87,harmonica,75,low,0.08,0.06,0.53,0.33
40bd5b02-b879-5f02-8ba6-1776564b4b04,bed,100,low,0,0,0.5,0.5
40bd5b02-b879-5f02-8ba6-1776564b4b04,harmonica,0,low,0.45,0.08,0.33,0.14
40bd5b02-b879-5f02-8ba6-1776564b4b04,sleeping-bag,75,low,0.07,0.22,0.31,0.4
40bd5b02-b879-5f02-8ba6-1776564b4b04,home,75,high,0.14,0.18,0.36,0.32
40bd5b02-b879-5f02-8ba6-1776564b4b04,payment,0,high,0.55,0.28,0.17,0
40bd5b02-b879-5f02-8ba6-1776564b4b04,hairbrush,75,low,0.21,0.06,0.28,0.45
40bd5b02-b879-5f02-8ba6-1776564b4b04,sunscreen,75,high,0.08,0.42,0.34,0.16
40bd5b02-b879-5f02-8ba6-1776564b4b04,gossip,0,high,0.39,0.47,0.14,0
40bd5b02-b879-5f02-8ba6-1776564b4b04,towel,0,low,0.85,0.08,0.07,0
40bd5b02-b879-5f02-8ba6-1776564b4b04,chapstick,100,high,0,0.06,0.09,0.85
40bd5b02-b879-5f02-8ba6-1776564b4b04,hat,50,low,0.73,0.09,0.09,0.09
40bd5b02-b879-5f02-8ba6-1776564b4b04,blanket,100,low,0.03,0.14,0.31,0.52
40bd5b02-b879-5f02-8ba6-1776564b4b04,breakup,50,low,0.25,0.59,0.11,0.05
40bd5b02-b879-5f02-8ba6-1776564b4b04,locker-room,100,high,0.05,0.14,0.3,0.51
40bd5b02-b879-5f02-8ba6-1776564b4b04,sauna,50,high,0.26,0.09,0.49,0.16
40bd5b02-b879-5f02-8ba6-1776564b4b04,navigation,50,high,0.17,0.51,0.23,0.09
be4e7694-2ba4-5f8e-8520-ccad5ed396c7,blanket,100,low,0.1,0.17,0.22,0.51
be4e7694-2ba4-5f8e-8520-ccad5ed396c7,bed,100,high,0.03,0.09,0.22,0.66
be4e7694-2ba4-5f8e-8520-ccad5ed396c7,hat,75,low,0.36,0.13,0.19,0.32
