subject_id,scenario_label,intimacy,motivation,action,p_action
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,0,1.0
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,1,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,2,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,3,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,0,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,1,0.08
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,2,0.44
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,3,0.48
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,0,0.61
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,1,0.19
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,2,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,3,0.2
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,0,0.25
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,1,0.28
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,2,0.35
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,3,0.12
15e4b468-56da-5152-a637-1f11b624f2e9,gossip,50,high,0,0.28
15e4b468-56da-5152-a637-1f11b624f2e9,gossip,50,high,1,0.28
15e4b468-56da-5152-a637-1f11b624f2e9,gossip,50,high,2,0.44
15e4b468-56da-5152-a637-1f11b624f2e9,gossip,50,high,3,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,hairbrush,100,low,0,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,hairbrush,100,low,1,0.33
15e4b468-56da-5152-a637-1f11b624f2e9,hairbrush,100,low,2,0.33
15e4b468-56da-5152-a637-1f11b624f2e9,hairbrush,100,low,3,0.34
15e4b468-56da-5152-a637-1f11b624f2e9,harmonica,100,low,0,0.26
15e4b468-56da-5152-a637-1f11b624f2e9,harmonica,100,low,1,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,harmonica,100,low,2,0.06
15e4b468-56da-5152-a637-1f11b624f2e9,harmonica,100,low,3,0.68
15e4b468-56da-5152-a637-1f11b624f2e9,hat,75,high,0,0.04
15e4b468-56da-5152-a637-1f11b624f2e9,hat,75,high,1,0.24
15e4b468-56da-5152-a637-1f11b624f2e9,hat,75,high,2,0.31
15e4b468-56da-5152-a637-1f11b624f2e9,hat,75,high,3,0.41
15e4b468-56da-5152-a637-1f11b624f2e9,home,50,high,0,0.48
15e4b468-56da-5152-a637-1f11b624f2e9,home,50,high,1,0.25
15e4b468-56da-5152-a637-1f11b624f2e9,home,50,high,2,0.27
15e4b468-56da-5152-a637-1f11b624f2e9,home,50,high,3,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,locker-room,0,high,0,1.0
15e4b468-56da-5152-a637-1f11b624f2e9,locker-room,0,high,1,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,locker-room,0,high,2,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,locker-room,0,high,3,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,navigation,75,low,0,0.07
15e4b468-56da-5152-a637-1f11b624f2e9,navigation,75,low,1,0.27
15e4b468-56da-5152-a637-1f11b624f2e9,navigation,75,low,2,0.37
15e4b468-56da-5152-a637-1f11b624f2e9,navigation,75,low,3,0.29
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,0,0.5
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,1,0.18
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,2,0.14
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,3,0.18
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,0,0.46
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,1,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,2,0.47
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,3,0.07
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,0,1.0
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,1,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,2,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,3,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,0,0.0
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,1,0.06
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,2,0.4
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,3,0.54
15e4b468-56da-5152-a637-1f11b624f2e9,towel,75,high,0,0.25
15e4b468-56da-5152-a637-1f11b624f2e9,towel,75,high,1,0.35
15e4b468-56da-5152-a637-1f11b624f2e9,towel,75,high,2,0.32
15e4b468-56da-5152-a637-1f11b624f2e9,towel,75,high,3,0.08
367dcae5-5607-5a12-a236-2b4a06b8efef,bed,75,high,0,0.72
367dcae5-5607-5a12-a236-2b4a06b8efef,bed,75,high,1,0.14
367dcae5-5607-5a12-a236-2b4a06b8efef,bed,75,high,2,0.14
367dcae5-5607-5a12-a236-2b4a06b8efef,bed,75,high,3,0.0
367dcae5-5607-5a12-a236-2b4a06b8efef,blanket,75,low,0,0.4
367dcae5-5607-5a12-a236-2b4a06b8efef,blanket,75,low,1,0.32
367dcae5-5607-5a12-a236-2b4a06b8efef,blanket,75,low,2,0.12
367dcae5-5607-5a12-a236-2b4a06b8efef,blanket,75,low,3,0.16
367dcae5-5607-5a12-a236-2b4a06b8efef,breakup,100,high,0,0.02
367dcae5-5607-5a12-a236-2b4a06b8efef,breakup,100,high,1,0.02
367dcae5-5607-5a12-a236-2b4a06b8efef,breakup,100,high,2,0.04
367dcae5-5607-5a12-a236-2b4a06b8efef,breakup,100,high,3,0.92
