experiment,variant,fold,held_out_scenario,alpha_observer,train_nll,test_nll,n_train,n_test
food_inv_desire_intimacy_alt,full,0,apples,1.929876446723938,945.44921875,61.02614206485116,1800,120
food_inv_desire_intimacy_alt,full,1,basketball,1.9127264022827148,948.1650390625,58.13718759503245,1800,120
food_inv_desire_intimacy_alt,full,2,birthday,1.923818826675415,937.7916259765625,68.61854287245156,1800,120
food_inv_desire_intimacy_alt,full,3,brunch,1.93203604221344,925.542236328125,80.95714562581075,1800,120
food_inv_desire_intimacy_alt,full,4,cooking,2.013808012008667,954.06298828125,53.748010097822835,1800,120
food_inv_desire_intimacy_alt,full,5,dip,1.9312098026275635,965.180908203125,41.309387467840594,1800,120
food_inv_desire_intimacy_alt,full,6,drinks,1.9919123649597168,952.344482421875,55.04117642032684,1800,120
food_inv_desire_intimacy_alt,full,7,driving,1.996508240699768,927.5241088867188,79.94630743136528,1800,120
food_inv_desire_intimacy_alt,full,8,fair,2.0026726722717285,936.66796875,70.92018218234637,1800,120
food_inv_desire_intimacy_alt,full,9,gala,2.0125045776367188,956.5572509765625,51.227004487733424,1800,120
food_inv_desire_intimacy_alt,full,10,hike,1.9954380989074707,932.6600341796875,74.7905242210574,1800,120
food_inv_desire_intimacy_alt,full,11,oysters,1.9329160451889038,939.6236572265625,66.88596465111345,1800,120
food_inv_desire_intimacy_alt,full,12,social,1.8549846410751343,952.7747192382812,53.20351741081469,1800,120
food_inv_desire_intimacy_alt,full,13,soup,1.9236361980438232,936.4168701171875,69.9913389691401,1800,120
food_inv_desire_intimacy_alt,full,14,takeout,1.9227603673934937,941.2752685546875,65.12403853214217,1800,120
food_inv_desire_intimacy_alt,full,15,wedding,1.9359544515609741,947.0601806640625,59.484796624762986,1800,120
food_inv_desire_intimacy_alt,discomfort_only,0,apples,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,1,basketball,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,2,birthday,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,3,brunch,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,4,cooking,10.0,1247.665771484375,83.17766166719355,1800,120
food_inv_desire_intimacy_alt,discomfort_only,5,dip,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,6,drinks,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,7,driving,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,8,fair,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,9,gala,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,10,hike,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,11,oysters,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,12,social,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,13,soup,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,discomfort_only,14,takeout,10.0,1247.665771484375,83.17766166719355,1800,120
food_inv_desire_intimacy_alt,discomfort_only,15,wedding,10.0,1247.665771484375,83.17766166719353,1800,120
food_inv_desire_intimacy_alt,base,0,apples,2.5214054584503174,966.56103515625,64.49452558796264,1800,120
food_inv_desire_intimacy_alt,base,1,basketball,2.459195137023926,968.5247192382812,62.36654182769711,1800,120
food_inv_desire_intimacy_alt,base,2,birthday,2.5065243244171143,964.5288696289062,66.46552090510822,1800,120
food_inv_desire_intimacy_alt,base,3,brunch,2.5239686965942383,949.5491943359375,81.51814630212884,1800,120
food_inv_desire_intimacy_alt,base,4,cooking,2.643256187438965,977.683837890625,54.37063452081561,1800,120
food_inv_desire_intimacy_alt,base,5,dip,2.528226375579834,989.6672973632812,41.42084364249781,1800,120
food_inv_desire_intimacy_alt,base,6,drinks,2.5707242488861084,974.797607421875,56.556397085916814,1800,120
food_inv_desire_intimacy_alt,base,7,driving,2.634382963180542,948.8304443359375,83.12207289114762,1800,120
food_inv_desire_intimacy_alt,base,8,fair,2.6469016075134277,956.159423828125,75.93835975508755,1800,120
food_inv_desire_intimacy_alt,base,9,gala,2.584801197052002,981.85107421875,49.61475882647315,1800,120
food_inv_desire_intimacy_alt,base,10,hike,2.5820233821868896,957.3482055664062,74.09461025076554,1800,120
food_inv_desire_intimacy_alt,base,11,oysters,2.528125047683716,961.6322021484375,69.45533130131693,1800,120
food_inv_desire_intimacy_alt,base,12,social,2.4487996101379395,972.4548950195312,58.43251391595245,1800,120
food_inv_desire_intimacy_alt,base,13,soup,2.5105557441711426,960.761474609375,70.24823587902789,1800,120
food_inv_desire_intimacy_alt,base,14,takeout,2.512993812561035,963.8587036132812,67.16068967982142,1800,120
food_inv_desire_intimacy_alt,base,15,wedding,2.5172414779663086,971.918212890625,59.118916751595535,1800,120
