experiment,variant,fold,held_out_scenario,alpha_observer,train_nll,test_nll,n_train,n_test,param_w_v,param_w_d,param_w_e,param_gamma
food_inv-desire_intimacy_noalt,full_padded,0,apples,1.627669095993042,169.17791748046875,11.775743662265024,300,20,0.6594281792640686,0.37714844942092896,2.1612389087677,9.999999974752427e-07
food_inv-desire_intimacy_noalt,full_padded,1,basketball,2.859168529510498,168.9486541748047,11.775754123462852,300,20,0.3692410886287689,0.1668412685394287,2.7287280559539795,0.10467745363712311
food_inv-desire_intimacy_noalt,full_padded,2,birthday,1.5842969417572021,169.43270874023438,11.578396430135738,300,20,0.6280543804168701,0.8136865496635437,2.04887056350708,0.02326875925064087
food_inv-desire_intimacy_noalt,full_padded,3,brunch,1.5961178541183472,168.5435028076172,12.52702530912314,300,20,0.6366559863090515,0.8862631916999817,1.9790210723876953,0.02018963173031807
food_inv-desire_intimacy_noalt,full_padded,4,cooking,3.139808416366577,170.81993103027344,9.797106712712205,300,20,0.3350873291492462,0.15346753597259521,2.8632798194885254,9.999999974752427e-07
food_inv-desire_intimacy_noalt,full_padded,5,dip,1.8204913139343262,170.63406372070312,10.144680234342287,300,20,0.5858569741249084,0.4344771206378937,2.370800018310547,9.999999974752427e-07
food_inv-desire_intimacy_noalt,full_padded,6,drinks,1.7750043869018555,169.17288208007812,11.943925323874879,300,20,0.606535017490387,0.731586754322052,2.2627036571502686,9.999999974752427e-07
food_inv-desire_intimacy_noalt,full_padded,7,driving,1.6923030614852905,167.4415283203125,13.512552111330224,300,20,0.6516037583351135,0.3913453221321106,2.182121515274048,9.999999974752427e-07
food_inv-desire_intimacy_noalt,full_padded,8,fair,1.4003487825393677,165.8916778564453,15.21900336268503,300,20,0.7818154692649841,0.6502183675765991,2.0126068592071533,0.00998020451515913
food_inv-desire_intimacy_noalt,full_padded,9,gala,2.0178866386413574,174.71023559570312,6.417181595143227,300,20,0.4698718190193176,0.9249130487442017,2.032378911972046,0.020398356020450592
food_inv-desire_intimacy_noalt,full_padded,10,hike,1.9332636594772339,167.3736114501953,13.460266593138684,300,20,0.5429277420043945,0.6045425534248352,2.235316514968872,9.999999974752427e-07
food_inv-desire_intimacy_noalt,full_padded,11,oysters,1.041094183921814,172.65406799316406,10.724407836192196,300,20,1.014297604560852,1.0955092906951904,1.0998142957687378,0.9000484943389893
food_inv-desire_intimacy_noalt,full_padded,12,social,2.0654103755950928,170.4331817626953,10.382506253294892,300,20,0.48354247212409973,0.5208936929702759,2.1359758377075195,0.031129619106650352
food_inv-desire_intimacy_noalt,full_padded,13,soup,2.138568162918091,169.45660400390625,11.26766674403735,300,20,0.47217559814453125,0.43129923939704895,2.3281702995300293,9.999999974752427e-07
food_inv-desire_intimacy_noalt,full_padded,14,takeout,3.119511842727661,168.61044311523438,11.958086260009113,300,20,0.330893874168396,0.30774378776550293,2.6935222148895264,0.011458512395620346
food_inv-desire_intimacy_noalt,full_padded,15,wedding,1.6538472175598145,169.9078369140625,10.983550389819305,300,20,0.6377137303352356,0.44526049494743347,2.1520018577575684,0.011425024829804897
food_inv-desire_intimacy_noalt,discomfort_only_padded,0,apples,9.999999974752427e-07,207.94424438476562,13.862943611198906,300,20,,0.8430272936820984,,1.5345730781555176
food_inv-desire_intimacy_noalt,discomfort_only_padded,1,basketball,9.999999974752427e-07,207.94424438476562,13.862943611198908,300,20,,0.9807343482971191,,1.1750067472457886
food_inv-desire_intimacy_noalt,discomfort_only_padded,2,birthday,9.999999974752427e-07,207.94424438476562,13.862943611198906,300,20,,1.5362980365753174,,1.4573901891708374
food_inv-desire_intimacy_noalt,discomfort_only_padded,3,brunch,9.999999974752427e-07,207.94424438476562,13.862943611198906,300,20,,0.9494860172271729,,1.1560240983963013
food_inv-desire_intimacy_noalt,discomfort_only_padded,4,cooking,9.999999974752427e-07,207.94424438476562,13.862943611198908,300,20,,1.0117849111557007,,0.7634314298629761
food_inv-desire_intimacy_noalt,discomfort_only_padded,5,dip,9.999999974752427e-07,207.94424438476562,13.862943611198906,300,20,,1.1132510900497437,,1.0540677309036255
food_inv-desire_intimacy_noalt,discomfort_only_padded,6,drinks,9.999999974752427e-07,207.94424438476562,13.862943611198906,300,20,,1.4763323068618774,,1.396876573562622
