subject_id,scenario_label,action_condition,intimacy,stage,response
0d251f69-6ab6-5876-bac4-0dea98b95cd4,apples,action_3,75,posterior,54
0d251f69-6ab6-5876-bac4-0dea98b95cd4,apples,action_3,75,prior,89
0d251f69-6ab6-5876-bac4-0dea98b95cd4,basketball,action_2,50,posterior,83
0d251f69-6ab6-5876-bac4-0dea98b95cd4,basketball,action_2,50,prior,50
0d251f69-6ab6-5876-bac4-0dea98b95cd4,birthday,action_2,75,posterior,82
0d251f69-6ab6-5876-bac4-0dea98b95cd4,birthday,action_2,75,prior,50
0d251f69-6ab6-5876-bac4-0dea98b95cd4,brunch,action_2,100,posterior,100
0d251f69-6ab6-5876-bac4-0dea98b95cd4,brunch,action_2,100,prior,85
0d251f69-6ab6-5876-bac4-0dea98b95cd4,cooking,action_3,50,posterior,100
0d251f69-6ab6-5876-bac4-0dea98b95cd4,cooking,action_3,50,prior,100
0d251f69-6ab6-5876-bac4-0dea98b95cd4,dip,action_3,100,posterior,49
0d251f69-6ab6-5876-bac4-0dea98b95cd4,dip,action_3,100,prior,8
0d251f69-6ab6-5876-bac4-0dea98b95cd4,drinks,action_0,0,posterior,0
0d251f69-6ab6-5876-bac4-0dea98b95cd4,drinks,action_0,0,prior,86
0d251f69-6ab6-5876-bac4-0dea98b95cd4,driving,action_0,50,posterior,100
0d251f69-6ab6-5876-bac4-0dea98b95cd4,driving,action_0,50,prior,82
0d251f69-6ab6-5876-bac4-0dea98b95cd4,fair,action_0,75,posterior,19
0d251f69-6ab6-5876-bac4-0dea98b95cd4,fair,action_0,75,prior,75
0d251f69-6ab6-5876-bac4-0dea98b95cd4,gala,action_0,100,posterior,10
0d251f69-6ab6-5876-bac4-0dea98b95cd4,gala,action_0,100,prior,97
0d251f69-6ab6-5876-bac4-0dea98b95cd4,hike,action_1,0,posterior,100
0d251f69-6ab6-5876-bac4-0dea98b95cd4,hike,action_1,0,prior,71
0d251f69-6ab6-5876-bac4-0dea98b95cd4,oysters,action_1,50,posterior,78
0d251f69-6ab6-5876-bac4-0dea98b95cd4,oysters,action_1,50,prior,100
0d251f69-6ab6-5876-bac4-0dea98b95cd4,social,action_1,75,posterior,100
0d251f69-6ab6-5876-bac4-0dea98b95cd4,social,action_1,75,prior,51
0d251f69-6ab6-5876-bac4-0dea98b95cd4,soup,action_1,100,posterior,100
0d251f69-6ab6-5876-bac4-0dea98b95cd4,soup,action_1,100,prior,82
0d251f69-6ab6-5876-bac4-0dea98b95cd4,takeout,action_3,0,posterior,69
0d251f69-6ab6-5876-bac4-0dea98b95cd4,takeout,action_3,0,prior,50
0d251f69-6ab6-5876-bac4-0dea98b95cd4,wedding,action_2,0,posterior,25
0d251f69-6ab6-5876-bac4-0dea98b95cd4,wedding,action_2,0,prior,81
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,apples,action_2,0,posterior,86
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,apples,action_2,0,prior,11
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,basketball,action_0,100,posterior,92
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,basketball,action_0,100,prior,80
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,birthday,action_1,0,posterior,9
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,birthday,action_1,0,prior,31
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,brunch,action_1,50,posterior,79
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,brunch,action_1,50,prior,41
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,cooking,action_1,100,posterior,100
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,cooking,action_1,100,prior,98
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,dip,action_2,50,posterior,100
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,dip,action_2,50,prior,100
