experiment,model,restart,nll,init_w_v,param_w_v,init_w_d,param_w_d,init_w_e,param_w_e,init_gamma,param_gamma,init_alpha_observer,param_alpha_observer
food_inv_intimacy,full,0,1131.19189453125,1.0,9.999999974752427e-07,1.0,9.967321395874023,1.0,9.999999974752427e-07,1.0,0.17651337385177612,1.0,0.594519853591919
food_inv_intimacy,full,1,1131.168701171875,1.0648832321166992,9.999999974752427e-07,0.9360817670822144,10.061165809631348,1.377418875694275,9.999999974752427e-07,1.0538499355316162,0.17651240527629852,0.7650342583656311,0.5886191129684448
food_inv_intimacy,full,2,1130.8485107421875,1.1981725692749023,9.999999974752427e-07,1.9193757772445679,11.523382186889648,1.6056690216064453,9.999999974752427e-07,0.7033732533454895,0.1768086850643158,0.5311500430107117,0.5097081661224365
food_inv_intimacy,full,3,1131.1309814453125,0.7322471141815186,9.999999974752427e-07,1.0208779573440552,10.225112915039062,0.312698632478714,9.999999974752427e-07,0.8963755369186401,0.17856761813163757,0.5363569259643555,0.5779491662979126
food_inv_intimacy,full,4,1131.2711181640625,0.6934100985527039,9.999999974752427e-07,0.7617555856704712,9.657139778137207,0.8537216186523438,9.999999974752427e-07,1.22852623462677,0.17646464705467224,1.6841427087783813,0.6148136854171753
food_inv_intimacy,discomfort_only,0,1131.20263671875,,,1.0,9.924509048461914,,,1.0,0.17651478946208954,1.0,0.5972537398338318
food_inv_intimacy,discomfort_only,1,1131.2154541015625,,,1.0648832321166992,9.873703956604004,,,0.9360817670822144,0.1765148639678955,1.377418875694275,0.6005319952964783
food_inv_intimacy,discomfort_only,2,1131.2254638671875,,,1.0538499355316162,9.833762168884277,,,0.7650342583656311,0.17651869356632233,1.1981725692749023,0.6031278967857361
food_inv_intimacy,discomfort_only,3,1130.836669921875,,,1.9193757772445679,11.584354400634766,,,1.6056690216064453,0.17682597041130066,0.7033732533454895,0.5068708658218384
food_inv_intimacy,discomfort_only,4,1131.4366455078125,,,0.5311500430107117,9.062954902648926,,,0.7322471141815186,0.17866601049900055,1.0208779573440552,0.6574722528457642
food_inv_intimacy,base,0,1255.312744140625,1.0,1.0,,,1.0,1.0,,,1.0,1.0
food_inv_intimacy,base,1,1255.312744140625,1.0648832321166992,1.4448754787445068,,,0.9360817670822144,0.5666996836662292,,,1.377418875694275,0.9773164391517639
food_inv_intimacy,base,2,1255.312744140625,1.0538499355316162,0.7502565979957581,,,0.7650342583656311,0.6530061364173889,,,1.1981725692749023,0.7980533838272095
food_inv_intimacy,base,3,1255.312744140625,1.9193757772445679,1.6966958045959473,,,1.6056690216064453,1.3701084852218628,,,0.7033732533454895,0.20353960990905762
food_inv_intimacy,base,4,1255.3125,0.5311500430107117,0.09631536900997162,,,0.7322471141815186,0.4317176938056946,,,1.0208779573440552,0.020885959267616272
