subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full,pred_access_only,pred_no_access
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,0,0.94,0.0,1,0,0.45765463,0.6906733,0.1286344
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,1,0.02,0.0,1,0,0.39484403,0.21728812,0.2864702
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,2,0.02,0.0,1,0,0.07918557,0.048995376,0.2924477
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,3,0.02,0.0,1,0,0.0683158,0.043043204,0.2924477
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,0,0.59,0.75,0,1,0.39520195,0.3363785,0.3181553
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,1,0.39,0.75,0,1,0.26167867,0.31748003,0.14637017
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,2,0.01,0.75,0,1,0.17721193,0.17807299,0.26773727
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,3,0.01,0.75,0,1,0.16590743,0.16806845,0.26773727
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,0,0.59,0.0,1,2,0.20637777,0.43927094,0.15651591
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,1,0.33,0.0,1,2,0.6495437,0.43927094,0.27469712
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,2,0.05,0.0,1,2,0.11645005,0.090296865,0.33210656
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,3,0.03,0.0,1,2,0.027628448,0.03116125,0.23668042
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,0,0.26,0.5,0,3,0.27945098,0.26573268,0.25493264
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,1,0.41,0.5,0,3,0.3074438,0.33488238,0.17960006
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,2,0.16,0.5,0,3,0.26064947,0.24964574,0.25581384
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,3,0.17,0.5,0,3,0.15245575,0.14973922,0.30965346
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,0,0.48,0.0,0,4,0.87087166,0.60124725,0.5675585
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,1,0.36,0.0,0,4,0.086171396,0.23837668,0.15489687
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,2,0.14,0.0,0,4,0.03053237,0.10857824,0.13345996
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,3,0.02,0.0,0,4,0.012424462,0.051797796,0.14408466
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,0,0.56,0.5,0,5,0.68929577,0.35461655,0.5867184
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,1,0.4,0.5,0,5,0.18871792,0.35461655,0.17135929
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,2,0.03,0.5,0,5,0.09059767,0.19890268,0.14495234
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,3,0.01,0.5,0,5,0.03138861,0.09186425,0.09697003
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,0,0.42,1.0,0,6,0.5679222,0.25,0.5332686
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,1,0.29,1.0,0,6,0.14961757,0.25,0.14287584
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,2,0.2,1.0,0,6,0.14119226,0.25,0.1483173
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,3,0.09,1.0,0,6,0.14126809,0.25,0.17553829
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,0,0.57,0.75,0,7,0.35479236,0.30782774,0.3133099
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,1,0.38,0.75,0,7,0.29268843,0.30782774,0.2035393
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,2,0.04,0.75,0,7,0.2273512,0.2305412,0.24186811
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,3,0.01,0.75,0,7,0.12516804,0.15380332,0.24128272
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,0,0.22,1.0,1,8,0.11743607,0.25,0.17468572
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,1,0.46,1.0,1,8,0.24594225,0.25,0.19652925
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,2,0.28,1.0,1,8,0.30982435,0.25,0.3297754
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,3,0.04,1.0,1,8,0.32679734,0.25,0.29900968
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,0,0.45,1.0,1,9,0.08367513,0.25,0.11399251
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,1,0.22,1.0,1,9,0.30357942,0.25,0.27977657
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,2,0.22,1.0,1,9,0.28352895,0.25,0.27626434
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,3,0.11,1.0,1,9,0.32921645,0.25,0.32996657
00f163d0-f623-5456-b48c-e09b0d6c6fd5,hike,50,high,0,0.41,0.5,1,10,0.2103596,0.42632025,0.1523286
