experiment,variant,fold,held_out_scenario,alpha_observer,train_nll,test_nll,n_train,n_test
intimacy_effort,access_full,0,apples,2.7239625453948975,1287.6456298828125,88.2899100780487,300,20
intimacy_effort,access_full,1,basketball,2.7115039825439453,1290.76513671875,85.14316320419312,300,20
intimacy_effort,access_full,2,birthday,2.6494739055633545,1292.4876708984375,83.32800722122192,300,20
intimacy_effort,access_full,3,brunch,2.6519486904144287,1289.4791259765625,86.33892369270325,300,20
intimacy_effort,access_full,4,cooking,2.725407123565674,1286.96875,88.97019219398499,300,20
intimacy_effort,access_full,5,dip,2.723787546157837,1286.960693359375,88.97442674636841,300,20
intimacy_effort,access_full,6,drinks,2.655910015106201,1292.1826171875,83.639408826828,300,20
intimacy_effort,access_full,7,driving,2.7333669662475586,1287.7225341796875,88.23546147346497,300,20
intimacy_effort,access_full,8,fair,2.7208340167999268,1288.9891357421875,86.939213514328,300,20
intimacy_effort,access_full,9,gala,2.722334384918213,1289.2171630859375,86.71481132507324,300,20
intimacy_effort,access_full,10,hike,2.6493797302246094,1289.23095703125,86.58469653129578,300,20
intimacy_effort,access_full,11,oysters,2.6530020236968994,1292.8382568359375,82.9809947013855,300,20
intimacy_effort,access_full,12,social,2.648864269256592,1293.762939453125,82.05229496955872,300,20
intimacy_effort,access_full,13,soup,2.783644914627075,1284.6104736328125,91.49484539031982,300,20
intimacy_effort,access_full,14,takeout,2.664832830429077,1292.045166015625,83.78687691688538,300,20
intimacy_effort,access_full,15,wedding,2.6657698154449463,1292.85791015625,82.97517585754395,300,20
intimacy_effort,access_only,0,apples,3.6205406188964844,1283.6954345703125,87.49204397201538,300,20
intimacy_effort,access_only,1,basketball,3.5448973178863525,1287.316650390625,83.83766794204712,300,20
intimacy_effort,access_only,2,birthday,3.5383875370025635,1287.8857421875,83.26865458488464,300,20
intimacy_effort,access_only,3,brunch,3.535593032836914,1284.8233642578125,86.33122062683105,300,20
intimacy_effort,access_only,4,cooking,3.6786623001098633,1281.804931640625,89.45029258728027,300,20
intimacy_effort,access_only,5,dip,3.6652989387512207,1281.761474609375,89.47497320175171,300,20
intimacy_effort,access_only,6,drinks,3.532270669937134,1288.5218505859375,82.63305306434631,300,20
intimacy_effort,access_only,7,driving,3.6698763370513916,1283.302978515625,87.93975329399109,300,20
intimacy_effort,access_only,8,fair,3.632256507873535,1284.45556640625,86.74262833595276,300,20
intimacy_effort,access_only,9,gala,3.624850034713745,1284.949462890625,86.24176073074341,300,20
intimacy_effort,access_only,10,hike,3.535304307937622,1284.8289794921875,86.32575106620789,300,20
intimacy_effort,access_only,11,oysters,3.52862548828125,1289.5732421875,81.58228397369385,300,20
intimacy_effort,access_only,12,social,3.5325443744659424,1288.90576171875,82.24918675422668,300,20
intimacy_effort,access_only,13,soup,3.718961238861084,1280.42041015625,90.90311789512634,300,20
intimacy_effort,access_only,14,takeout,3.5915744304656982,1287.325927734375,83.84135508537292,300,20
intimacy_effort,access_only,15,wedding,3.5785398483276367,1287.6182861328125,83.5430281162262,300,20
intimacy_effort,no_access,0,apples,0.7999319434165955,1384.5362548828125,92.3024091720581,300,20
intimacy_effort,no_access,1,basketball,0.009999999776482582,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,2,birthday,0.8005239367485046,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,3,brunch,0.8005581498146057,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,4,cooking,0.4021395444869995,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,5,dip,0.009999999776482582,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,6,drinks,0.009999999776482582,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,7,driving,0.009999999776482582,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,8,fair,0.009999999776482582,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,9,gala,0.7998954653739929,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,10,hike,0.8007493615150452,1384.5362548828125,92.3024172782898,300,20
intimacy_effort,no_access,11,oysters,0.009999999776482582,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,12,social,0.7998706102371216,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,13,soup,0.7004525661468506,1384.5362548828125,92.30241346359253,300,20
intimacy_effort,no_access,14,takeout,0.8008278608322144,1384.5362548828125,92.30240821838379,300,20
intimacy_effort,no_access,15,wedding,0.799878716468811,1384.5362548828125,92.30240821838379,300,20
