subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full,pred_access_only,pred_no_access
15e4b468-56da-5152-a637-1f11b624f2e9,navigation,75,low,2,0.37,0.75,0,10,0.19986285,0.22537984,0.21469182
15e4b468-56da-5152-a637-1f11b624f2e9,navigation,75,low,3,0.29,0.75,0,10,0.18539034,0.20894617,0.21561438
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,0,0.5,0.5,0,11,0.4206724,0.3397964,0.34034157
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,1,0.18,0.5,0,11,0.21681786,0.24786548,0.21142784
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,2,0.14,0.5,0,11,0.19902861,0.22691087,0.2178703
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,3,0.18,0.5,0,11,0.16348115,0.18542725,0.23036025
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,0,0.46,0.0,1,12,0.27194837,0.3429094,0.19521567
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,1,0.0,0.0,1,12,0.37903184,0.3429094,0.2590988
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,2,0.47,0.0,1,12,0.26047224,0.23484218,0.26699388
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,3,0.07,0.0,1,12,0.08854757,0.07933901,0.27869168
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,0,1.0,0.0,0,13,0.54657584,0.46080387,0.34728843
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,1,0.0,0.0,0,13,0.23424211,0.27817094,0.22713533
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,2,0.0,0.0,0,13,0.13443351,0.15965663,0.2232727
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,3,0.0,0.0,0,13,0.08474847,0.10136851,0.20230351
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,0,0.0,1.0,1,14,0.19328688,0.25,0.20408137
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,1,0.06,1.0,1,14,0.27023605,0.25,0.2811615
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,2,0.4,1.0,1,14,0.26901105,0.25,0.26625943
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,3,0.54,1.0,1,14,0.26746607,0.25,0.24849775
15e4b468-56da-5152-a637-1f11b624f2e9,towel,75,high,0,0.25,0.75,1,15,0.23311654,0.29746234,0.20377164
15e4b468-56da-5152-a637-1f11b624f2e9,towel,75,high,1,0.35,0.75,1,15,0.29653946,0.2706021,0.2804941
15e4b468-56da-5152-a637-1f11b624f2e9,towel,75,high,2,0.32,0.75,1,15,0.24925868,0.22821788,0.2681451
15e4b468-56da-5152-a637-1f11b624f2e9,towel,75,high,3,0.08,0.75,1,15,0.22108532,0.20371768,0.24758919
367dcae5-5607-5a12-a236-2b4a06b8efef,bed,75,high,0,0.72,0.75,1,0,0.23441686,0.300019,0.19320717
367dcae5-5607-5a12-a236-2b4a06b8efef,bed,75,high,1,0.14,0.75,1,0,0.2791541,0.25624028,0.25643304
367dcae5-5607-5a12-a236-2b4a06b8efef,bed,75,high,2,0.14,0.75,1,0,0.25730848,0.23487385,0.27346894
367dcae5-5607-5a12-a236-2b4a06b8efef,bed,75,high,3,0.0,0.75,1,0,0.22912057,0.2088669,0.27689084
367dcae5-5607-5a12-a236-2b4a06b8efef,blanket,75,low,0,0.4,0.75,0,1,0.37048373,0.2940599,0.34431136
367dcae5-5607-5a12-a236-2b4a06b8efef,blanket,75,low,1,0.32,0.75,0,1,0.24649514,0.2760802,0.2232653
367dcae5-5607-5a12-a236-2b4a06b8efef,blanket,75,low,2,0.12,0.75,0,1,0.20371857,0.22847235,0.2185294
367dcae5-5607-5a12-a236-2b4a06b8efef,blanket,75,low,3,0.16,0.75,0,1,0.17930257,0.20138751,0.21389396
367dcae5-5607-5a12-a236-2b4a06b8efef,breakup,100,high,0,0.02,1.0,1,2,0.19297495,0.25,0.2000045
367dcae5-5607-5a12-a236-2b4a06b8efef,breakup,100,high,1,0.02,1.0,1,2,0.27046677,0.25,0.2838193
