model,nll,n_params,aic,bic,r,r_ci_lower,r_ci_upper,param_alpha,param_w_v,param_w_d,param_w_e
access_full,2159.156005859375,3,4324.31201171875,4345.023457353919,0.9762084940334744,0.9590148876464847,0.9889062111864895,1.0,0.7079776525497437,1.581994891166687,0.46181753277778625
access_only,2299.08837890625,1,4600.1767578125,4607.080573024223,0.716160666590397,0.5151264319807228,0.8762505537157852,1.0,,1.3877313137054443,
no_access,2429.68212890625,2,4863.3642578125,4877.1718882359455,0.6320688244599844,0.3458908476096891,0.8036178843043853,1.0,0.5831893086433411,,1.035201072692871
