experiment,variant,fold,held_out_scenario,alpha_observer,train_nll,test_nll,n_train,n_test,param_w_v,param_w_d,param_w_e
desire_noalt,access_full_padded,0,apples,8.718441009521484,170.54335021972656,11.422189072380688,300,20,0.12238236516714096,0.20620839297771454,3.333799123764038
desire_noalt,access_full_padded,1,basketball,6.989321231842041,170.51995849609375,11.542297085701065,300,20,0.15083184838294983,0.15889398753643036,3.135770082473755
desire_noalt,access_full_padded,2,birthday,9.781363487243652,170.21542358398438,11.768162048099056,300,20,0.10581335425376892,0.3771868646144867,3.205272912979126
desire_noalt,access_full_padded,3,brunch,8.786432266235352,169.7065887451172,12.25297022353745,300,20,0.11920241266489029,0.21226635575294495,3.4770965576171875
desire_noalt,access_full_padded,4,cooking,9.15391731262207,172.20953369140625,9.770144867984854,300,20,0.11701611429452896,0.10158319771289825,3.4240684509277344
desire_noalt,access_full_padded,5,dip,3.1179637908935547,171.27149963378906,11.254800994560417,300,20,0.35299956798553467,0.0005617286660708487,5.102311611175537
desire_noalt,access_full_padded,6,drinks,7.705008506774902,170.5765838623047,11.53351557496156,300,20,0.1397874653339386,0.4680268168449402,3.7100210189819336
desire_noalt,access_full_padded,7,driving,9.66688060760498,168.49383544921875,13.489064768357895,300,20,0.11344203352928162,0.14720439910888672,3.4087955951690674
desire_noalt,access_full_padded,8,fair,8.010397911071777,166.93045043945312,15.161574569236805,300,20,0.14127835631370544,0.2721673846244812,3.133500576019287
desire_noalt,access_full_padded,9,gala,9.39007568359375,175.87567138671875,6.147000266608685,300,20,0.10726669430732727,0.40773627161979675,3.5023863315582275
desire_noalt,access_full_padded,10,hike,9.948967933654785,168.44505310058594,13.602264797490308,300,20,0.10781308263540268,0.23254059255123138,4.003444194793701
desire_noalt,access_full_padded,11,oysters,9.026397705078125,171.94749450683594,10.0317146200352,300,20,0.1136275976896286,0.2929561138153076,3.4620752334594727
desire_noalt,access_full_padded,12,social,9.249167442321777,171.6729736328125,10.309245926621035,300,20,0.11047573387622833,0.2316746562719345,3.6620030403137207
desire_noalt,access_full_padded,13,soup,9.781494140625,167.96656799316406,14.01882156553909,300,20,0.11030015349388123,0.20421209931373596,3.153308868408203
desire_noalt,access_full_padded,14,takeout,9.118598937988281,170.07749938964844,11.889824506549845,300,20,0.11343415826559067,0.2101798802614212,3.540391445159912
