subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full_gamma
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,0,0.94,0.0,1,0,0.42698184
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,1,0.02,0.0,1,0,0.40298706
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,2,0.02,0.0,1,0,0.09085414
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,3,0.02,0.0,1,0,0.079176955
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,0,0.59,0.75,0,1,0.42199868
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,1,0.39,0.75,0,1,0.27848366
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,2,0.01,0.75,0,1,0.15602612
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,3,0.01,0.75,0,1,0.1434915
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,0,0.59,0.0,1,2,0.20118563
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,1,0.33,0.0,1,2,0.6368108
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,2,0.05,0.0,1,2,0.12867387
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,3,0.03,0.0,1,2,0.033329796
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,0,0.26,0.5,0,3,0.27989364
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,1,0.41,0.5,0,3,0.3171549
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,2,0.16,0.5,0,3,0.2594152
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,3,0.17,0.5,0,3,0.14353625
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,0,0.48,0.0,0,4,0.8578861
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,1,0.36,0.0,0,4,0.09232124
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,2,0.14,0.0,0,4,0.03482614
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,3,0.02,0.0,0,4,0.014966578
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,0,0.56,0.5,0,5,0.6932131
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,1,0.4,0.5,0,5,0.19159518
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,2,0.03,0.5,0,5,0.08706623
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,3,0.01,0.5,0,5,0.028125498
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,0,0.42,1.0,0,6,0.56589127
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,1,0.29,1.0,0,6,0.15074226
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,2,0.2,1.0,0,6,0.14196308
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,3,0.09,1.0,0,6,0.14140333
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,0,0.57,0.75,0,7,0.36953267
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,1,0.38,0.75,0,7,0.30730876
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,2,0.04,0.75,0,7,0.21764581
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,3,0.01,0.75,0,7,0.10551278
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,0,0.22,1.0,1,8,0.116963215
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,1,0.46,1.0,1,8,0.2474626
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,2,0.28,1.0,1,8,0.30874684
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,3,0.04,1.0,1,8,0.32682738
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,0,0.45,1.0,1,9,0.08383131
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,1,0.22,1.0,1,9,0.30393267
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,2,0.22,1.0,1,9,0.28360444
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,3,0.11,1.0,1,9,0.32863158
