experiment,variant,fold,held_out_scenario,alpha_observer,train_nll,test_nll,n_train,n_test
effort_inferred,access_full,0,apples,2.1043012142181396,154.36334228515625,12.443215981545087,240,16
effort_inferred,access_full,1,basketball,1.7788432836532593,156.37672424316406,9.964745602227078,240,16
effort_inferred,access_full,2,birthday,1.838255763053894,155.90182495117188,10.475508086535225,240,16
effort_inferred,access_full,3,brunch,1.8445500135421753,155.43006896972656,10.952380108639874,240,16
effort_inferred,access_full,4,cooking,1.7570643424987793,156.939208984375,9.394800638578934,240,16
effort_inferred,access_full,5,dip,2.1028857231140137,155.0093994140625,11.793767411963383,240,16
effort_inferred,access_full,6,drinks,2.00429105758667,155.17327880859375,11.421555770928451,240,16
effort_inferred,access_full,7,driving,1.7690294981002808,156.3149871826172,10.022724739973022,240,16
effort_inferred,access_full,8,fair,1.77792489528656,155.87570190429688,10.465401609699056,240,16
effort_inferred,access_full,9,gala,1.8411654233932495,156.0164337158203,10.363220978664692,240,16
effort_inferred,access_full,10,hike,1.840533971786499,155.96817016601562,10.41097499577603,240,16
effort_inferred,access_full,11,oysters,1.7758033275604248,156.4116668701172,9.928590978024985,240,16
effort_inferred,access_full,12,social,1.7518810033798218,157.6514434814453,8.68124137341019,240,16
effort_inferred,access_full,13,soup,1.78155517578125,155.75038146972656,10.592246326828686,240,16
effort_inferred,access_full,14,takeout,1.8427337408065796,156.0121612548828,10.368779897557758,240,16
effort_inferred,access_full,15,wedding,1.8364447355270386,156.0056915283203,10.370213680396619,240,16
effort_inferred,access_only,0,apples,1.7590487003326416,166.29901123046875,11.090354888959125,240,16
effort_inferred,access_only,1,basketball,7.273373126983643,165.53549194335938,12.522708815763767,240,16
effort_inferred,access_only,2,birthday,1.4367469549179077,166.31968688964844,11.069894989214424,240,16
effort_inferred,access_only,3,brunch,2.252963066101074,166.26025390625,11.137559089691653,240,16
effort_inferred,access_only,4,cooking,1.7590605020523071,166.2990264892578,11.090354888959125,240,16
effort_inferred,access_only,5,dip,1.7590351104736328,166.2990264892578,11.090354888959125,240,16
effort_inferred,access_only,6,drinks,0.5495474338531494,166.34597778320312,11.067575882885652,240,16
effort_inferred,access_only,7,driving,3.965265989303589,166.04147338867188,11.466310147259733,240,16
effort_inferred,access_only,8,fair,0.009999999776482582,166.3572235107422,11.087787097528286,240,16
effort_inferred,access_only,9,gala,1.7590453624725342,166.2990264892578,11.090354888959126,240,16
effort_inferred,access_only,10,hike,1.7590380907058716,166.2990264892578,11.090354888959125,240,16
effort_inferred,access_only,11,oysters,1.7590358257293701,166.2990264892578,11.090354888959125,240,16
effort_inferred,access_only,12,social,0.009999999776482582,166.35585021972656,11.089155611710572,240,16
effort_inferred,access_only,13,soup,2.3961970806121826,166.2527618408203,11.149468961910834,240,16
effort_inferred,access_only,14,takeout,1.759049892425537,166.2990264892578,11.090354888959125,240,16
effort_inferred,access_only,15,wedding,3.597078323364258,166.10533142089844,11.368392689637203,240,16
effort_inferred,no_access,0,apples,10.0,166.35520935058594,11.090338889939058,240,16
effort_inferred,no_access,1,basketball,10.0,166.35519409179688,11.090346055570132,240,16
effort_inferred,no_access,2,birthday,10.0,166.35519409179688,11.090351069497522,240,16
effort_inferred,no_access,3,brunch,10.0,166.35519409179688,11.090353017374877,240,16
effort_inferred,no_access,4,cooking,10.0,166.35519409179688,11.090347307253815,240,16
effort_inferred,no_access,5,dip,10.0,166.355224609375,11.09033719834603,240,16
effort_inferred,no_access,6,drinks,10.0,166.35519409179688,11.090343447281187,240,16
effort_inferred,no_access,7,driving,10.0,166.355224609375,11.090345399907315,240,16
effort_inferred,no_access,8,fair,10.0,166.3551788330078,11.090354888959125,240,16
effort_inferred,no_access,9,gala,10.0,166.35520935058594,11.090346758896946,240,16
effort_inferred,no_access,10,hike,10.0,166.35519409179688,11.090350788170934,240,16
effort_inferred,no_access,11,oysters,10.0,166.35520935058594,11.090346353585362,240,16
effort_inferred,no_access,12,social,10.0,166.35520935058594,11.090341966690715,240,16
effort_inferred,no_access,13,soup,10.0,166.35519409179688,11.090349817800496,240,16
effort_inferred,no_access,14,takeout,10.0,166.35520935058594,11.090346305901644,240,16
effort_inferred,no_access,15,wedding,10.0,166.35519409179688,11.090347998673558,240,16
