subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full,pred_access_only,pred_no_access,pred_access_full_prior,pred_access_only_prior,pred_no_access_prior
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,3,0.01,0.75,0,7,0.1125345,0.15986168,0.17578682,0.085172154,0.12196531,0.077021636
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,0,0.22,1.0,1,8,0.124297954,0.25,0.11030073,0.1375668,0.27141327,0.14239028
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,1,0.46,1.0,1,8,0.29190055,0.25,0.29656634,0.32010233,0.27036214,0.35947737
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,2,0.28,1.0,1,8,0.29190072,0.25,0.29656652,0.32282144,0.27265283,0.36774465
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,3,0.04,1.0,1,8,0.2919007,0.25,0.2965665,0.21950944,0.18557179,0.13038775
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,0,0.45,1.0,1,9,0.12429793,0.25,0.1103007,0.13776305,0.27173334,0.14938216
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,1,0.22,1.0,1,9,0.29190066,0.25,0.2965664,0.2753471,0.23259051,0.25060517
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,2,0.22,1.0,1,9,0.2919007,0.25,0.29656643,0.27513346,0.23241043,0.25008267
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,3,0.11,1.0,1,9,0.29190072,0.25,0.29656646,0.3117564,0.26326576,0.34993
00f163d0-f623-5456-b48c-e09b0d6c6fd5,hike,50,high,0,0.41,0.5,1,10,0.27669826,0.47199413,0.11030073,0.27496022,0.46884683,0.14021084
00f163d0-f623-5456-b48c-e09b0d6c6fd5,hike,50,high,1,0.56,0.5,1,10,0.33506605,0.24422605,0.29656637,0.36199474,0.2648654,0.39115533
00f163d0-f623-5456-b48c-e09b0d6c6fd5,hike,50,high,2,0.02,0.5,1,10,0.21545964,0.15740879,0.29656646,0.20141633,0.14767918,0.23993626
00f163d0-f623-5456-b48c-e09b0d6c6fd5,hike,50,high,3,0.01,0.5,1,10,0.17277604,0.12637101,0.29656643,0.16162868,0.118608564,0.22869755
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,0,0.43,0.5,1,11,0.23012486,0.41157448,0.11030073,0.24288774,0.4276977,0.16155636
