subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full_gamma,pred_access_full_typed_gamma,pred_access_full_gamma_alpha,pred_access_full_gamma_vpow
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,0,1.0,0.0,0,0,0.5839662,0.59730697,0.583587,0.58603805
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,1,0.0,0.0,0,0,0.20742352,0.20367499,0.20724803,0.20505466
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,2,0.0,0.0,0,0,0.13821883,0.133116,0.13850865,0.1376429
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,3,0.0,0.0,0,0,0.07039145,0.06590201,0.07065637,0.07126434
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,0,0.0,1.0,1,1,0.176551,0.17659476,0.17560706,0.18027712
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,1,0.08,1.0,1,1,0.2568252,0.2568758,0.25687397,0.23690228
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,2,0.44,1.0,1,1,0.27982113,0.2798303,0.28022188,0.2770717
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,3,0.48,1.0,1,1,0.28680268,0.28669912,0.2872971,0.30574885
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,0,0.61,0.5,0,2,0.40690207,0.40398762,0.40744045,0.43060875
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,1,0.19,0.5,0,2,0.31974164,0.31924915,0.32001236,0.2956866
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,2,0.0,0.5,0,2,0.17943308,0.18110068,0.17912231,0.18993418
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,3,0.2,0.5,0,2,0.09392326,0.095662616,0.09342494,0.083770484
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,0,0.25,0.75,0,3,0.20568444,0.20686784,0.20425162,0.21914543
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,1,0.28,0.75,0,3,0.25203893,0.25215885,0.2516028,0.24203728
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,2,0.35,0.75,0,3,0.25955108,0.25905678,0.2600223,0.24828233
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,3,0.12,0.75,0,3,0.28272554,0.28191656,0.28412324,0.29053497
15e4b468-56da-5152-a637-1f11b624f2e9,gossip,50,high,0,0.28,0.5,1,4,0.22101347,0.21722858,0.2187554,0.22651461
15e4b468-56da-5152-a637-1f11b624f2e9,gossip,50,high,1,0.28,0.5,1,4,0.28730857,0.28495875,0.28668517,0.2685374
15e4b468-56da-5152-a637-1f11b624f2e9,gossip,50,high,2,0.44,0.5,1,4,0.2640435,0.26601756,0.26518917,0.26254034
15e4b468-56da-5152-a637-1f11b624f2e9,gossip,50,high,3,0.0,0.5,1,4,0.22763443,0.2317951,0.22937018,0.2424077
15e4b468-56da-5152-a637-1f11b624f2e9,hairbrush,100,low,0,0.0,1.0,0,5,0.24567762,0.24614748,0.24569245,0.24282312
15e4b468-56da-5152-a637-1f11b624f2e9,hairbrush,100,low,1,0.33,1.0,0,5,0.2219248,0.221121,0.2213722,0.22137372
15e4b468-56da-5152-a637-1f11b624f2e9,hairbrush,100,low,2,0.33,1.0,0,5,0.2696332,0.26951072,0.26990148,0.28554282
15e4b468-56da-5152-a637-1f11b624f2e9,hairbrush,100,low,3,0.34,1.0,0,5,0.26276445,0.26322082,0.26303387,0.25026035
15e4b468-56da-5152-a637-1f11b624f2e9,harmonica,100,low,0,0.26,1.0,0,6,0.23570418,0.23607264,0.23556162,0.24797374
15e4b468-56da-5152-a637-1f11b624f2e9,harmonica,100,low,1,0.0,1.0,0,6,0.23757489,0.23691371,0.23726432,0.24101813
15e4b468-56da-5152-a637-1f11b624f2e9,harmonica,100,low,2,0.06,1.0,0,6,0.25436953,0.254221,0.25440025,0.24815778
15e4b468-56da-5152-a637-1f11b624f2e9,harmonica,100,low,3,0.68,1.0,0,6,0.27235138,0.2727926,0.2727738,0.2628503
15e4b468-56da-5152-a637-1f11b624f2e9,hat,75,high,0,0.04,0.75,1,7,0.1863332,0.18708767,0.1850922,0.18495668
15e4b468-56da-5152-a637-1f11b624f2e9,hat,75,high,1,0.24,0.75,1,7,0.29602545,0.29648525,0.29642054,0.30789787
15e4b468-56da-5152-a637-1f11b624f2e9,hat,75,high,2,0.31,0.75,1,7,0.24844491,0.24843542,0.24776448,0.2441257
15e4b468-56da-5152-a637-1f11b624f2e9,hat,75,high,3,0.41,0.75,1,7,0.26919642,0.26799172,0.2707228,0.2630197
15e4b468-56da-5152-a637-1f11b624f2e9,home,50,high,0,0.48,0.5,1,8,0.2360439,0.23389146,0.23458995,0.2289165
15e4b468-56da-5152-a637-1f11b624f2e9,home,50,high,1,0.25,0.5,1,8,0.30203402,0.29939345,0.30170026,0.30177653
15e4b468-56da-5152-a637-1f11b624f2e9,home,50,high,2,0.27,0.5,1,8,0.29314858,0.29370794,0.29401863,0.28201237
15e4b468-56da-5152-a637-1f11b624f2e9,home,50,high,3,0.0,0.5,1,8,0.16877349,0.17300719,0.16969116,0.1872946
15e4b468-56da-5152-a637-1f11b624f2e9,locker-room,0,high,0,1.0,0.0,1,9,0.2703913,0.27374586,0.2683354,0.2942191
15e4b468-56da-5152-a637-1f11b624f2e9,locker-room,0,high,1,0.0,0.0,1,9,0.37902337,0.3821654,0.3794715,0.36064354
15e4b468-56da-5152-a637-1f11b624f2e9,locker-room,0,high,2,0.0,0.0,1,9,0.2849212,0.28306937,0.28586432,0.27751017
15e4b468-56da-5152-a637-1f11b624f2e9,locker-room,0,high,3,0.0,0.0,1,9,0.06566415,0.06101932,0.06632879,0.06762722
15e4b468-56da-5152-a637-1f11b624f2e9,navigation,75,low,0,0.07,0.75,0,10,0.33332106,0.33291394,0.33368188,0.31004733
15e4b468-56da-5152-a637-1f11b624f2e9,navigation,75,low,1,0.27,0.75,0,10,0.25475883,0.25461736,0.25464043,0.2596411
15e4b468-56da-5152-a637-1f11b624f2e9,navigation,75,low,2,0.37,0.75,0,10,0.21411923,0.21427003,0.21397461,0.2231979
15e4b468-56da-5152-a637-1f11b624f2e9,navigation,75,low,3,0.29,0.75,0,10,0.19780089,0.19819866,0.19770318,0.20711371
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,0,0.5,0.5,0,11,0.27762604,0.27347755,0.2759274,0.2850898
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,1,0.18,0.5,0,11,0.25361395,0.25326845,0.2535896,0.2538881
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,2,0.14,0.5,0,11,0.23472261,0.23557784,0.23496749,0.22414184
15e4b468-56da-5152-a637-1f11b624f2e9,payment,50,low,3,0.18,0.5,0,11,0.23403738,0.23767617,0.2355155,0.23688027
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,0,0.46,0.0,1,12,0.26629624,0.26938814,0.26469922,0.26253438
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,1,0.0,0.0,1,12,0.39797512,0.40242046,0.39792076,0.38305524
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,2,0.47,0.0,1,12,0.27139494,0.2685218,0.2724275,0.28191498
15e4b468-56da-5152-a637-1f11b624f2e9,sauna,0,high,3,0.07,0.0,1,12,0.064333715,0.059669595,0.06495248,0.07249539
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,0,1.0,0.0,0,13,0.60762817,0.6189006,0.6079149,0.61399865
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,1,0.0,0.0,0,13,0.2521555,0.24860515,0.25204697,0.24458636
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,2,0.0,0.0,0,13,0.10425289,0.099299476,0.10426075,0.101019874
15e4b468-56da-5152-a637-1f11b624f2e9,sleeping-bag,0,low,3,0.0,0.0,0,13,0.035963356,0.033194732,0.035777405,0.040395048
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,0,0.0,1.0,1,14,0.16472293,0.16477501,0.16365787,0.15177664
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,1,0.06,1.0,1,14,0.30850083,0.30898708,0.30944628,0.32252902
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,2,0.4,1.0,1,14,0.26834598,0.26829636,0.2685229,0.25762144
15e4b468-56da-5152-a637-1f11b624f2e9,sunscreen,100,high,3,0.54,1.0,1,14,0.25843027,0.2579415,0.25837296,0.26807293
15e4b468-56da-5152-a637-1f11b624f2e9,towel,75,high,0,0.25,0.75,1,15,0.1968054,0.1979509,0.19542424,0.20592242
15e4b468-56da-5152-a637-1f11b624f2e9,towel,75,high,1,0.35,0.75,1,15,0.3037393,0.30491588,0.30411506,0.29660213
