model,nll,n_params,aic,bic,r,r_ci_lower,r_ci_upper,param_alpha,param_w_v,param_w_d,param_w_e
access_full,161.54164123535156,3,329.0832824707031,342.1516054527908,0.9676123756690143,0.919331212436626,0.988511010695133,1.0,1.0190526247024536,1.4639211893081665,1.206985592842102
access_only,169.670166015625,1,341.34033203125,345.6964396919459,0.8542037995840392,0.6675032351335831,0.9426596799376047,1.0,,1.0936269760131836,
no_access,199.6264190673828,2,403.2528381347656,411.9650534561574,-0.057322295658746296,-0.45906573894927133,0.3433835222572978,1.0,0.9051997065544128,,0.00045967873302288353
