model,nll,n_params,aic,bic,r,r_ci_lower,r_ci_upper,param_alpha,param_w_v,param_w_r,param_w_d,param_w_e
access_full,2172.21826171875,4,4352.4365234375,4380.051784284392,0.9840083505192878,0.973203203124368,0.9926704085720307,1.0,1.7465085983276367,9.999999974752427e-07,1.664202332496643,0.7048708200454712
access_only,2312.921630859375,2,4629.84326171875,4643.6508921421955,0.7300738948321517,0.5497000425034876,0.8742359607267383,1.0,,9.999999974752427e-07,1.5517209768295288,
no_access,2351.970458984375,2,4707.94091796875,4721.7485483921955,0.751657056155422,0.5347525727887383,0.8782715968849986,1.0,1.660823106765747,,,1.304437279701233
