fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,test_cell_r
12,sauna,no_access,356.801513671875,23.044187545776367,0.34980540556066175,0.3388851109672995,1020,68,1.0,0.17509731650352478,,0.45394638180732727,0.5064926584983921
13,sleeping-bag,access_full,342.26116943359375,22.958921432495117,0.3355501661113664,0.3376311975366929,1020,68,1.0,0.36865124106407166,0.9115961194038391,0.44309914112091064,0.7449806051905201
13,sleeping-bag,access_only,347.27392578125,22.884502410888672,0.34046463311887254,0.33653680016012755,1020,68,1.0,,0.7547532916069031,,0.739441252464425
13,sleeping-bag,no_access,356.2952880859375,23.506027221679688,0.3493091059666054,0.34567687090705423,1020,68,1.0,0.2074112594127655,,0.4876044988632202,0.3692726275284604
14,sunscreen,access_full,342.2961730957031,22.914026260375977,0.3355844834271599,0.3369709744172938,1020,68,1.0,0.34827715158462524,0.8888484835624695,0.42412200570106506,0.6154683387792834
14,sunscreen,access_only,346.8728332519531,23.28535270690918,0.34007140514897366,0.34243165745454673,1020,68,1.0,,0.7555193305015564,,0.5371463164492831
14,sunscreen,no_access,355.9869384765625,23.817590713500977,0.34900680242800247,0.35025868696324963,1020,68,1.0,0.20082592964172363,,0.4994029998779297,0.24996502229998413
15,towel,access_full,341.6112060546875,23.59720802307129,0.33491294711243874,0.347017765045166,1020,68,1.0,0.36060354113578796,0.9151397943496704,0.42385217547416687,0.47633040536448046
15,towel,access_only,346.6361083984375,23.520055770874023,0.3398393219592524,0.34588317310108857,1020,68,1.0,,0.7687894105911255,,0.4450662884488832
15,towel,no_access,355.59271240234375,24.214462280273438,0.3486203062768076,0.3560950335334329,1020,68,1.0,0.2156490534543991,,0.4785131514072418,0.18569953156640095
