subject_id,scenario_label,intimacy,effort,action,p_action,intimacy_scaled,effort_condition,action_idx,scenario_idx,pred_access_full,pred_access_only,pred_no_access,pred_access_full_prior,pred_access_only_prior,pred_no_access_prior
2d603083-5409-5572-9c66-9fd9132da339,apples,75,high,1,0.15,0.75,1,0,0,0.42557633,0.6282937,0.4999998,0.4151769,0.62495077,0.5254276
2d603083-5409-5572-9c66-9fd9132da339,apples,75,high,2,0.85,0.75,1,1,0,0.5744236,0.37170628,0.50000024,0.58482313,0.37504926,0.4745725
2d603083-5409-5572-9c66-9fd9132da339,basketball,100,high,1,1.0,1.0,1,0,1,0.23852508,0.5,0.4999998,0.18168934,0.44362184,0.335455
2d603083-5409-5572-9c66-9fd9132da339,basketball,100,high,2,0.0,1.0,1,1,1,0.7614749,0.5,0.50000024,0.8183107,0.5563782,0.664545
2d603083-5409-5572-9c66-9fd9132da339,birthday,0,low,1,1.0,0.0,0,0,2,0.91351336,0.8609456,0.4999999,0.92049485,0.86328584,0.63710237
2d603083-5409-5572-9c66-9fd9132da339,birthday,0,low,2,0.0,0.0,0,1,2,0.08648659,0.13905443,0.50000006,0.07950509,0.13671415,0.36289766
2d603083-5409-5572-9c66-9fd9132da339,brunch,50,low,1,1.0,0.5,0,0,3,0.6460599,0.6650485,0.4999999,0.68439573,0.69202244,0.63710237
2d603083-5409-5572-9c66-9fd9132da339,brunch,50,low,2,0.0,0.5,0,1,3,0.3539401,0.33495146,0.50000006,0.31560433,0.30797762,0.36289766
2d603083-5409-5572-9c66-9fd9132da339,cooking,0,low,1,1.0,0.0,0,0,4,0.9498161,0.8908658,0.49999997,0.95349604,0.8903868,0.63757825
2d603083-5409-5572-9c66-9fd9132da339,cooking,0,low,2,0.0,0.0,0,1,4,0.0501839,0.10913422,0.50000006,0.046504,0.10961321,0.36242172
2d603083-5409-5572-9c66-9fd9132da339,dip,100,low,1,1.0,1.0,0,0,5,0.5676786,0.5,0.50000006,0.6292479,0.5471498,0.6389895
2d603083-5409-5572-9c66-9fd9132da339,dip,100,low,2,0.0,1.0,0,1,5,0.43232146,0.5,0.49999994,0.37075207,0.45285016,0.36101052
2d603083-5409-5572-9c66-9fd9132da339,drinks,75,low,1,0.0,0.75,0,0,6,0.6136859,0.6190543,0.49999997,0.6585484,0.65194005,0.63710237
2d603083-5409-5572-9c66-9fd9132da339,drinks,75,low,2,1.0,0.75,0,1,6,0.3863141,0.38094574,0.50000006,0.3414516,0.34805992,0.36289763
2d603083-5409-5572-9c66-9fd9132da339,driving,100,low,1,1.0,1.0,0,0,7,0.4312933,0.5,0.49999997,0.46457523,0.5283723,0.58490276
2d603083-5409-5572-9c66-9fd9132da339,driving,100,low,2,0.0,1.0,0,1,7,0.5687067,0.5,0.50000006,0.53542477,0.47162777,0.4150972
2d603083-5409-5572-9c66-9fd9132da339,fair,100,high,1,1.0,1.0,1,0,8,0.3019329,0.5,0.49999985,0.29905152,0.50452113,0.5136438
2d603083-5409-5572-9c66-9fd9132da339,fair,100,high,2,0.0,1.0,1,1,8,0.69806707,0.5,0.5000002,0.7009485,0.49547887,0.48635623
2d603083-5409-5572-9c66-9fd9132da339,gala,50,high,1,0.48,0.5,1,0,9,0.6595996,0.740738,0.49999982,0.47012162,0.60822356,0.17489995
2d603083-5409-5572-9c66-9fd9132da339,gala,50,high,2,0.52,0.5,1,1,9,0.34040037,0.25926206,0.5000002,0.5298783,0.39177644,0.82510006
