fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,param_gamma,param_w_d_substance,param_w_d_space,param_w_d_privacy,param_beta,test_cell_r
0,bed,access_full_gamma,341.8456115722656,21.878185272216797,0.3351427564433977,0.32173801870907054,1020,68,1.0,0.34787940979003906,1.0797979831695557,0.3292689621448517,2.1697449684143066,,,,,0.5780253735033258
0,bed,access_full_typed_gamma,341.8133850097656,21.88715934753418,0.33511116177428,0.32186999040491443,1020,68,1.0,0.3500789403915405,,0.3331625461578369,2.1551265716552734,1.1464004516601562,1.0569239854812622,1.0209741592407227,,0.5782648633311425
0,bed,access_full_gamma_alpha,341.84625244140625,21.891401290893555,0.3351433847464767,0.3219323719249052,1020,68,0.3551258146762848,1.0,3.0305609703063965,0.9539681077003479,2.2214183807373047,,,,,0.5766720501473307
0,bed,access_full_gamma_vpow,341.77191162109375,21.79754066467285,0.3350705015893076,0.3205520685981302,1020,68,1.0,0.38561302423477173,1.0834842920303345,0.3539712727069855,2.1788156032562256,,,,1.6163134574890137,0.5917589561664242
1,blanket,access_full_gamma,341.2996520996094,22.414941787719727,0.3346075020584406,0.3296314968782313,1020,68,1.0,0.35248374938964844,1.0486791133880615,0.4023118317127228,1.9333585500717163,,,,,0.6019753494134373
1,blanket,access_full_typed_gamma,341.2561340332031,22.440937042236328,0.33456483728745406,0.33001378003288717,1020,68,1.0,0.35543733835220337,,0.40651899576187134,1.9150047302246094,1.1249850988388062,1.0186116695404053,0.9856923222541809,,0.5989947617866545
1,blanket,access_full_gamma_alpha,341.3030700683594,22.421382904052734,0.3346108530081955,0.3297262191772461,1020,68,0.3608706593513489,1.0,2.8907105922698975,1.1424860954284668,1.9491826295852661,,,,,0.6011684492423867
1,blanket,access_full_gamma_vpow,341.1606140136719,22.38433837890625,0.33447119020948224,0.3291814467486213,1020,68,1.0,0.3957308232784271,1.0534749031066895,0.4294070899486542,1.9419482946395874,,,,1.6518075466156006,0.6133199680222775
2,breakup,access_full_gamma,341.1457824707031,22.653881072998047,0.3344566494810815,0.3331453098970301,1020,68,1.0,0.3317905366420746,1.0852912664413452,0.4485131800174713,1.863510251045227,,,,,0.5745376938199532
2,breakup,access_full_typed_gamma,341.1370544433594,22.62580108642578,0.3344480925915288,0.3327323689180262,1020,68,1.0,0.3317188024520874,,0.45055079460144043,1.8618979454040527,1.0944373607635498,1.1113033294677734,1.0434478521347046,,0.5764559423026402
