experiment,model,restart,nll,init_w_v,param_w_v,init_w_d,param_w_d,init_w_e,param_w_e,init_gamma,param_gamma,init_alpha_observer,param_alpha_observer
food_inv_joint_ie,full,0,1571.545166015625,1.0,9.999999974752427e-07,1.0,1.5591411590576172,1.0,0.5783298015594482,1.0,0.26571932435035706,1.0,4.541032314300537
food_inv_joint_ie,full,1,1571.545166015625,1.0648832321166992,9.999999974752427e-07,0.9360817670822144,1.563551902770996,1.377418875694275,0.5801474452018738,1.0538499355316162,0.26572665572166443,0.7650342583656311,4.526895999908447
food_inv_joint_ie,full,2,1571.54833984375,1.1981725692749023,9.999999974752427e-07,1.9193757772445679,1.60286545753479,1.6056690216064453,0.5963842868804932,0.7033732533454895,0.26580652594566345,0.5311500430107117,4.404244899749756
food_inv_joint_ie,full,3,1571.5467529296875,0.7322471141815186,9.999999974752427e-07,1.0208779573440552,1.5852786302566528,0.312698632478714,0.589124858379364,0.8963755369186401,0.26619449257850647,0.5363569259643555,4.45824670791626
food_inv_joint_ie,full,4,1571.544677734375,0.6934100985527039,9.999999974752427e-07,0.7617555856704712,1.5437467098236084,0.8537216186523438,0.5719963908195496,1.22852623462677,0.2656913101673126,1.6841427087783813,4.591004848480225
food_inv_joint_ie,discomfort_only,0,1582.17138671875,,,1.0,1.3929433822631836,,,1.0,0.2638520300388336,1.0,5.123793125152588
food_inv_joint_ie,discomfort_only,1,1582.169921875,,,1.0648832321166992,1.37761652469635,,,0.9360817670822144,0.26377072930336,1.377418875694275,5.185914039611816
food_inv_joint_ie,discomfort_only,2,1582.1708984375,,,1.0538499355316162,1.388150691986084,,,0.7650342583656311,0.263481467962265,1.1981725692749023,5.143250942230225
food_inv_joint_ie,discomfort_only,3,1582.172607421875,,,1.9193757772445679,1.4035521745681763,,,1.6056690216064453,0.2639029920101166,0.7033732533454895,5.081515312194824
food_inv_joint_ie,discomfort_only,4,1582.1708984375,,,0.5311500430107117,1.3865091800689697,,,0.7322471141815186,0.26458320021629333,1.0208779573440552,5.14934778213501
food_inv_joint_ie,base,0,1685.6925048828125,1.0,4.548883438110352,,,1.0,13.146183967590332,,,1.0,0.19558168947696686
food_inv_joint_ie,base,1,1685.686767578125,1.0648832321166992,4.619668960571289,,,0.9360817670822144,13.354117393493652,,,1.377418875694275,0.19287468492984772
food_inv_joint_ie,base,2,1685.7186279296875,1.0538499355316162,4.279490947723389,,,0.7650342583656311,12.384506225585938,,,1.1981725692749023,0.20378537476062775
food_inv_joint_ie,base,3,1685.647705078125,1.9193757772445679,5.183114051818848,,,1.6056690216064453,14.877853393554688,,,0.7033732533454895,0.17347906529903412
food_inv_joint_ie,base,4,1685.720703125,0.5311500430107117,4.22420597076416,,,0.7322471141815186,12.256172180175781,,,1.0208779573440552,0.20881368219852448
