subject_id,scenario_label,stimulus_index,action_condition,intimacy,stage,desire_rating,effort_rating
2155eec6-925c-5a2c-9428-eb59a1872b7e,harmonica,8,high_risk_share,somewhat_formal,prior,0.41,0.61
2155eec6-925c-5a2c-9428-eb59a1872b7e,home,2,no_share,max_formal,posterior,0.0,0.76
2155eec6-925c-5a2c-9428-eb59a1872b7e,home,2,no_share,max_formal,prior,0.61,0.4
2155eec6-925c-5a2c-9428-eb59a1872b7e,locker-room,0,no_share,somewhat_formal,posterior,0.0,1.0
2155eec6-925c-5a2c-9428-eb59a1872b7e,locker-room,0,no_share,somewhat_formal,prior,0.23,0.81
2155eec6-925c-5a2c-9428-eb59a1872b7e,navigation,4,high_risk_share,max_formal,posterior,0.98,0.07
2155eec6-925c-5a2c-9428-eb59a1872b7e,navigation,4,high_risk_share,max_formal,prior,0.68,0.41
2155eec6-925c-5a2c-9428-eb59a1872b7e,salary,7,high_risk_share,somewhat_intimate,posterior,1.0,0.29
2155eec6-925c-5a2c-9428-eb59a1872b7e,salary,7,high_risk_share,somewhat_intimate,prior,0.7,0.37
2155eec6-925c-5a2c-9428-eb59a1872b7e,sauna,10,high_risk_share,max_formal,posterior,1.0,0.62
2155eec6-925c-5a2c-9428-eb59a1872b7e,sauna,10,high_risk_share,max_formal,prior,0.63,0.28
2155eec6-925c-5a2c-9428-eb59a1872b7e,sleeping-bag,15,no_share,somewhat_formal,posterior,0.67,0.64
2155eec6-925c-5a2c-9428-eb59a1872b7e,sleeping-bag,15,no_share,somewhat_formal,prior,0.85,0.32
2155eec6-925c-5a2c-9428-eb59a1872b7e,sunscreen,9,high_risk_share,max_intimate,posterior,1.0,0.58
2155eec6-925c-5a2c-9428-eb59a1872b7e,sunscreen,9,high_risk_share,max_intimate,prior,0.78,0.66
2155eec6-925c-5a2c-9428-eb59a1872b7e,towel,6,no_share,somewhat_intimate,posterior,0.0,1.0
2155eec6-925c-5a2c-9428-eb59a1872b7e,towel,6,no_share,somewhat_intimate,prior,0.61,0.62
