subject_id,scenario_label,intimacy_condition,reward_condition,action_0,action_1,action_2,action_3
3b4ff796-1810-5f41-b6e7-8654efb99ddd,brunch,50,high,0,1,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,birthday,75,low,0,0.5,0.5,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,takeout,50,high,0.09,0.91,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,gala,50,low,1,0,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,apples,0,high,0.51,0.49,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,drinks,75,high,0,0,0.03,0.97
3b4ff796-1810-5f41-b6e7-8654efb99ddd,oysters,0,low,0.72,0.28,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,social,50,low,1,0,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,fair,100,low,0,0,0,1
3b4ff796-1810-5f41-b6e7-8654efb99ddd,driving,100,low,0,1,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,dip,0,low,1,0,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,soup,100,high,1,0,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,wedding,0,high,1,0,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,cooking,75,high,0,1,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,hike,75,low,0.6,0.4,0,0
3b4ff796-1810-5f41-b6e7-8654efb99ddd,basketball,100,high,0,0,0,1
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,birthday,50,low,0.72,0.28,0,0
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,social,0,low,1,0,0,0
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,basketball,75,high,0.04,0.63,0.19,0.14
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,driving,75,low,0.08,0.26,0.38,0.28
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,drinks,50,high,0.27,0,0.66,0.07
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,cooking,50,high,0,1,0,0
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,soup,75,high,0.59,0,0,0.41
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,fair,75,low,0.22,0.1,0.33,0.35
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,dip,100,low,0.54,0.35,0.05,0.06
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,hike,50,low,0.78,0.22,0,0
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,gala,0,low,0.83,0.11,0.06,0
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,apples,100,high,0,0.15,0.43,0.42
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,wedding,100,high,0.03,0.02,0.38,0.57
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,oysters,100,low,0.33,0.18,0.42,0.07
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,takeout,0,high,0.28,0.5,0.22,0
c174f3d6-851a-57a1-9854-ecdb0c75ff1b,brunch,0,high,0,0.05,0.71,0.24
2bbefa5c-c49e-51d6-862c-67ea3d54369c,dip,0,low,0.7,0.2,0.1,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,apples,100,high,0.09,0.31,0.6,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,gala,75,high,0.15,0.49,0.36,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,fair,0,high,0.7,0.25,0.05,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,driving,100,low,0.13,0.39,0.38,0.1
2bbefa5c-c49e-51d6-862c-67ea3d54369c,oysters,75,low,0.42,0.37,0.21,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,social,75,low,0.7,0.2,0.1,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,cooking,50,high,0.08,0.7,0.22,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,takeout,0,high,0.62,0.27,0.11,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,wedding,75,high,0.13,0.51,0.24,0.12
2bbefa5c-c49e-51d6-862c-67ea3d54369c,birthday,50,low,0.11,0.67,0.22,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,brunch,50,high,0.21,0.52,0.27,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,basketball,100,low,0.74,0.21,0.05,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,hike,50,low,0.51,0.34,0.15,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,soup,0,low,0.85,0.11,0.04,0
2bbefa5c-c49e-51d6-862c-67ea3d54369c,drinks,100,high,0.06,0.24,0.29,0.41
b934e91f-9f16-50bd-9a34-4ef994382680,oysters,100,low,0,0.85,0,0.15
b934e91f-9f16-50bd-9a34-4ef994382680,apples,100,high,0,0.43,0.37,0.2
b934e91f-9f16-50bd-9a34-4ef994382680,birthday,0,high,0.05,0.95,0,0
b934e91f-9f16-50bd-9a34-4ef994382680,brunch,0,high,0,1,0,0
b934e91f-9f16-50bd-9a34-4ef994382680,driving,75,low,0.06,0.56,0.25,0.13
b934e91f-9f16-50bd-9a34-4ef994382680,fair,50,high,0.17,0.6,0.23,0
b934e91f-9f16-50bd-9a34-4ef994382680,drinks,50,low,0.83,0.17,0,0
b934e91f-9f16-50bd-9a34-4ef994382680,takeout,0,low,0.94,0.06,0,0
b934e91f-9f16-50bd-9a34-4ef994382680,dip,75,high,0,0.12,0.12,0.76
b934e91f-9f16-50bd-9a34-4ef994382680,soup,75,low,0.58,0.34,0.08,0
b934e91f-9f16-50bd-9a34-4ef994382680,social,0,low,1,0,0,0
b934e91f-9f16-50bd-9a34-4ef994382680,gala,100,high,0,0,0,1
b934e91f-9f16-50bd-9a34-4ef994382680,wedding,100,low,0.45,0,0.28,0.27
b934e91f-9f16-50bd-9a34-4ef994382680,basketball,75,high,0,1,0,0
b934e91f-9f16-50bd-9a34-4ef994382680,hike,50,low,0.59,0.41,0,0
b934e91f-9f16-50bd-9a34-4ef994382680,cooking,50,high,0,0.77,0.23,0
494bffb5-6ba0-54fe-98c8-e3f933533a10,apples,75,high,0.02,0.17,0.54,0.27
494bffb5-6ba0-54fe-98c8-e3f933533a10,soup,50,high,0.19,0.68,0.05,0.08
494bffb5-6ba0-54fe-98c8-e3f933533a10,drinks,0,high,0.38,0.53,0.09,0
494bffb5-6ba0-54fe-98c8-e3f933533a10,birthday,0,low,0.02,0.93,0.05,0
494bffb5-6ba0-54fe-98c8-e3f933533a10,fair,50,low,0.08,0.7,0.21,0.01
494bffb5-6ba0-54fe-98c8-e3f933533a10,takeout,100,high,0,0.57,0.34,0.09
494bffb5-6ba0-54fe-98c8-e3f933533a10,oysters,75,low,0.03,0.15,0.51,0.31
494bffb5-6ba0-54fe-98c8-e3f933533a10,wedding,75,high,0.02,0.5,0.36,0.12
494bffb5-6ba0-54fe-98c8-e3f933533a10,gala,100,low,0.89,0.07,0.02,0.02
