subject_id,scenario_label,action_condition,intimacy_condition,stage,response
5d39fb34-fa95-59c4-8027-ffb7787c8631,dip,action_1,0,prior,20
5d39fb34-fa95-59c4-8027-ffb7787c8631,dip,action_1,0,posterior,86
5d39fb34-fa95-59c4-8027-ffb7787c8631,birthday,action_3,100,prior,85
5d39fb34-fa95-59c4-8027-ffb7787c8631,birthday,action_3,100,posterior,88
5d39fb34-fa95-59c4-8027-ffb7787c8631,hike,action_3,50,prior,14
5d39fb34-fa95-59c4-8027-ffb7787c8631,hike,action_3,50,posterior,78
5d39fb34-fa95-59c4-8027-ffb7787c8631,oysters,action_3,75,prior,82
5d39fb34-fa95-59c4-8027-ffb7787c8631,oysters,action_3,75,posterior,95
5d39fb34-fa95-59c4-8027-ffb7787c8631,fair,action_2,50,prior,74
5d39fb34-fa95-59c4-8027-ffb7787c8631,fair,action_2,50,posterior,66
5d39fb34-fa95-59c4-8027-ffb7787c8631,gala,action_1,100,prior,100
5d39fb34-fa95-59c4-8027-ffb7787c8631,gala,action_1,100,posterior,100
5d39fb34-fa95-59c4-8027-ffb7787c8631,soup,action_0,0,prior,71
5d39fb34-fa95-59c4-8027-ffb7787c8631,soup,action_0,0,posterior,50
5d39fb34-fa95-59c4-8027-ffb7787c8631,takeout,action_0,75,prior,50
5d39fb34-fa95-59c4-8027-ffb7787c8631,takeout,action_0,75,posterior,20
5d39fb34-fa95-59c4-8027-ffb7787c8631,basketball,action_2,75,prior,80
5d39fb34-fa95-59c4-8027-ffb7787c8631,basketball,action_2,75,posterior,86
5d39fb34-fa95-59c4-8027-ffb7787c8631,brunch,action_1,75,prior,68
5d39fb34-fa95-59c4-8027-ffb7787c8631,brunch,action_1,75,posterior,30
5d39fb34-fa95-59c4-8027-ffb7787c8631,drinks,action_2,0,prior,50
5d39fb34-fa95-59c4-8027-ffb7787c8631,drinks,action_2,0,posterior,71
5d39fb34-fa95-59c4-8027-ffb7787c8631,wedding,action_3,0,prior,50
5d39fb34-fa95-59c4-8027-ffb7787c8631,wedding,action_3,0,posterior,82
5d39fb34-fa95-59c4-8027-ffb7787c8631,cooking,action_0,50,prior,71
5d39fb34-fa95-59c4-8027-ffb7787c8631,cooking,action_0,50,posterior,22
5d39fb34-fa95-59c4-8027-ffb7787c8631,social,action_0,100,prior,50
5d39fb34-fa95-59c4-8027-ffb7787c8631,social,action_0,100,posterior,11
5d39fb34-fa95-59c4-8027-ffb7787c8631,driving,action_2,100,prior,50
5d39fb34-fa95-59c4-8027-ffb7787c8631,driving,action_2,100,posterior,67
5d39fb34-fa95-59c4-8027-ffb7787c8631,apples,action_1,50,prior,50
5d39fb34-fa95-59c4-8027-ffb7787c8631,apples,action_1,50,posterior,72
1b65a665-6cc9-51b2-ae6c-24b73a7dc56e,brunch,action_0,75,prior,50
1b65a665-6cc9-51b2-ae6c-24b73a7dc56e,brunch,action_0,75,posterior,50
1b65a665-6cc9-51b2-ae6c-24b73a7dc56e,social,action_0,0,prior,73
1b65a665-6cc9-51b2-ae6c-24b73a7dc56e,social,action_0,0,posterior,75
1b65a665-6cc9-51b2-ae6c-24b73a7dc56e,soup,action_2,0,prior,50
1b65a665-6cc9-51b2-ae6c-24b73a7dc56e,soup,action_2,0,posterior,81
