experiment,model,restart,nll,init_w_v,param_w_v,init_w_d,param_w_d,init_w_e,param_w_e,init_gamma,param_gamma,init_alpha_observer,param_alpha_observer
food_inv_joint_de,full,0,1331.1688232421875,1.0,0.8216325044631958,1.0,4.543637275695801,1.0,0.41458216309547424,1.0,9.999999974752427e-07,1.0,8.736740112304688
food_inv_joint_de,full,1,1331.1671142578125,1.0648832321166992,0.8212112188339233,0.9360817670822144,4.542030334472656,1.377418875694275,0.4143202006816864,1.0538499355316162,9.999999974752427e-07,0.7650342583656311,8.741482734680176
food_inv_joint_de,full,2,1331.1695556640625,1.1981725692749023,0.8219647407531738,1.9193757772445679,4.533602714538574,1.6056690216064453,0.4148070514202118,0.7033732533454895,9.999999974752427e-07,0.5311500430107117,8.734676361083984
food_inv_joint_de,full,3,1331.167236328125,0.7322471141815186,0.821316123008728,1.0208779573440552,4.53908634185791,0.312698632478714,0.41440391540527344,0.8963755369186401,9.999999974752427e-07,0.5363569259643555,8.741004943847656
food_inv_joint_de,full,4,1331.1695556640625,0.6934100985527039,0.8218131065368652,0.7617555856704712,4.551764488220215,0.8537216186523438,0.41463160514831543,1.22852623462677,9.999999974752427e-07,1.6841427087783813,8.734518051147461
food_inv_joint_de,discomfort_only,0,1443.848876953125,,,1.0,1.0,,,1.0,1.0,1.0,1.0
food_inv_joint_de,discomfort_only,1,1443.848876953125,,,1.0648832321166992,0.9650382995605469,,,0.9360817670822144,0.8388025164604187,1.377418875694275,1.2774206399917603
food_inv_joint_de,discomfort_only,2,1443.848876953125,,,1.0538499355316162,1.1543523073196411,,,0.7650342583656311,0.5671414732933044,1.1981725692749023,1.0001473426818848
food_inv_joint_de,discomfort_only,3,1443.848876953125,,,1.9193757772445679,1.9193757772445679,,,1.6056690216064453,1.6056690216064453,0.7033732533454895,0.7033732533454895
food_inv_joint_de,discomfort_only,4,1443.848876953125,,,0.5311500430107117,0.5311500430107117,,,0.7322471141815186,0.7322471141815186,1.0208779573440552,1.0208779573440552
food_inv_joint_de,base,0,1354.45068359375,1.0,0.7533285617828369,,,1.0,0.5086859464645386,,,1.0,8.744519233703613
food_inv_joint_de,base,1,1354.46044921875,1.0648832321166992,0.7541226744651794,,,0.9360817670822144,0.5094538331031799,,,1.377418875694275,8.734161376953125
food_inv_joint_de,base,2,1354.454345703125,1.0538499355316162,0.7536227703094482,,,0.7650342583656311,0.5090125203132629,,,1.1981725692749023,8.74080753326416
food_inv_joint_de,base,3,1354.4459228515625,1.9193757772445679,0.7528290748596191,,,1.6056690216064453,0.5082728266716003,,,0.7033732533454895,8.749676704406738
food_inv_joint_de,base,4,1354.44482421875,0.5311500430107117,0.7529999613761902,,,0.7322471141815186,0.5082957148551941,,,1.0208779573440552,8.750662803649902
