scenario_label,action,n,empirical_stat,ci_lower,mean,ci_upper
basketball,0,29,0.2626447664466774,0.2156825816094229,0.2612262923668087,0.3097970967290165
basketball,1,29,0.3796088981834151,0.3368792585294418,0.37899481349029257,0.4207518524996031
basketball,2,29,0.20985892465955452,0.17532096227536384,0.2094531282809489,0.2418441803368121
basketball,3,29,0.14788741071035294,0.12407455374652707,0.14815573996524012,0.17136518176311133
birthday,0,29,0.24373660014711393,0.20801619743476263,0.24392279398382638,0.28035060079405555
birthday,1,29,0.3534964786949669,0.32492479816525577,0.3538205957153109,0.38571425178051155
birthday,2,29,0.2573529046729366,0.23582043224208885,0.2567037158963057,0.27652278666690094
birthday,3,29,0.14541401648498253,0.12018015513739035,0.14487764810015352,0.1702157515825136
brunch,0,29,0.2654835445149847,0.22895172240099912,0.265652846258407,0.3036322364760187
brunch,1,29,0.27852770679849786,0.24470998369703612,0.27928138915316575,0.3117456617965891
brunch,2,29,0.26893182037705365,0.2397048195925274,0.26824603485098664,0.29492408405688764
brunch,3,29,0.1870569283094638,0.16147099380258176,0.1869236225253327,0.21524320671029354
conference,0,29,0.2713307880570611,0.23022998110439227,0.271393116505045,0.3127891843532675
conference,1,29,0.3683441434015257,0.34651919394499237,0.36834611825163016,0.391417771743865
conference,2,29,0.24048505259138334,0.20648676593267967,0.24119741392892155,0.2731676207789924
conference,3,29,0.11984001595002983,0.09356456666828183,0.1199405029960576,0.1525236016866884
cooking,0,29,0.15635605157330362,0.12053725604159354,0.1561871260368234,0.1959911568718328
cooking,1,29,0.4341318450478267,0.3879625020912753,0.43414170714417327,0.47527635687755654
cooking,2,29,0.23259235885877286,0.196851184856311,0.2320707256011119,0.2663918554286823
cooking,3,29,0.17691974452009682,0.14704228336059905,0.17608801243981065,0.2051738697969122
crabs,0,29,0.22657849058478466,0.1921026039717711,0.22570109564638072,0.2604826189214945
crabs,1,29,0.4018272671175786,0.3631783826091066,0.402609908083259,0.44319210163647
crabs,2,29,0.19954468960707328,0.17086389391518667,0.19953799888812412,0.22912343274819363
crabs,3,29,0.17204955269056346,0.1498951654333346,0.17243653076382234,0.19662869533996663
dip,0,29,0.3657950829931906,0.3301460479026742,0.36737828422337776,0.4029133549345782
dip,1,29,0.29896855350460977,0.2791665381802824,0.2988570799221764,0.31721596617257425
dip,2,29,0.21226302340072467,0.18619013941203255,0.21204128796040278,0.23724141880369604
dip,3,29,0.12297334010147495,0.1014055400288566,0.12295635380279704,0.14734579192934533
drinks,0,29,0.33325984198515424,0.27692858501556483,0.33297541763572175,0.3935936063241597
drinks,1,29,0.2983232980262445,0.263043785587739,0.298256899994283,0.3339646172751397
drinks,2,29,0.19874209978405558,0.16216464361196367,0.19861456188064178,0.23290172593800385
drinks,3,29,0.1696747602045456,0.1386523829373545,0.17017928017830924,0.2014258764498439
driving,0,29,0.29242066931561966,0.24976538191340822,0.29332957462007275,0.33635848857812534
driving,1,29,0.36740007839212496,0.3321400209275957,0.3677094499441177,0.4004749742646414
driving,2,29,0.20080241929286446,0.16766799913049912,0.20109519370715523,0.2335247431896241
driving,3,29,0.1393768329993909,0.11182582875913878,0.13918436379605317,0.16980307853910795
fair,0,29,0.2775624279934625,0.24229156260406262,0.27702477805008585,0.30991317861455436
fair,1,29,0.37304271399098987,0.34161542998974065,0.37209405947992524,0.4041921301145091
fair,2,29,0.20458899338209682,0.18545279286413693,0.20443799293111184,0.22285941163870854
fair,3,29,0.14480586463345083,0.12103362906934335,0.14503599764785943,0.1711007837845551
gala,0,29,0.30678407606232394,0.25657833814676895,0.30654631086392253,0.35600143093932635
gala,1,29,0.2903103375089325,0.26696147963941297,0.2907391223551966,0.3113536572310699
gala,2,29,0.2631238389511536,0.23971768522346734,0.2632955767475307,0.286886633061953
gala,3,29,0.13978174747758995,0.11571314764510021,0.13987862803222723,0.1651492756949416
hike,0,29,0.3634996853436589,0.3251230483146526,0.36347426841797914,0.4006402958267509
hike,1,29,0.3283615350285575,0.3033342289699664,0.3283783045682526,0.3512889263795704
hike,2,29,0.17439537571783756,0.15076846148071546,0.17435106425833863,0.19967943191223722
hike,3,29,0.13374340390994602,0.11323601913699952,0.1341197893438899,0.15659305353566416
oysters,0,29,0.36693324364804025,0.31321950839337875,0.3669176603262906,0.4242794309150987
oysters,1,29,0.28818934348452874,0.2513941054967564,0.2893522420610705,0.3289752929265652
oysters,2,29,0.1898147297408,0.16828974945567612,0.19025588454633563,0.21212796859006924
oysters,3,29,0.15506268312663102,0.12767473041892857,0.1549020510696932,0.18564377717648176
social,0,29,0.40123720567299087,0.34358155470813034,0.4011638775539155,0.4585162569772516
social,1,29,0.24638795981942133,0.21440651487617862,0.24683402554574427,0.2835122955713092
social,2,29,0.2148692812926292,0.18440889127120008,0.21551514143104955,0.24679151451588932
social,3,29,0.13750555321495858,0.11458221621824563,0.13731244126141015,0.16077721996922434
soup,0,29,0.44566089080840215,0.3905223288150485,0.44431611544982397,0.4998093683451824
soup,1,29,0.21387272145780276,0.18420810218527733,0.21382287563070865,0.24459710154858272
soup,2,29,0.1847068077183863,0.16067504670864868,0.18544994356937392,0.21074280654617547
soup,3,29,0.15575958001540877,0.12479018330810915,0.15604862506829628,0.1922295237159031
wedding,0,29,0.36195389410295115,0.3219206635593778,0.3614881577745825,0.40003333668849195
wedding,1,29,0.24392661255671313,0.21074132907164778,0.24342636501424397,0.2723861758406936
wedding,2,29,0.23391371914012685,0.20468870824709134,0.23480688070381134,0.26523563469021993
wedding,3,29,0.16020577420020887,0.13253457259183493,0.16070234062569158,0.19439437354992284
