subject_id,scenario_label,action_condition,intimacy_condition,stage,response
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,wedding,action_2,75,posterior,80
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,cooking,action_2,100,prior,50
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,cooking,action_2,100,posterior,62
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,dip,action_1,50,prior,44
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,dip,action_1,50,posterior,14
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,drinks,action_1,75,prior,50
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,drinks,action_1,75,posterior,21
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,basketball,action_2,100,prior,49
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,basketball,action_2,100,posterior,48
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,hike,action_1,75,prior,65
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,hike,action_1,75,posterior,39
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,gala,action_1,50,prior,38
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,gala,action_1,50,posterior,15
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,social,action_2,0,prior,45
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,social,action_2,0,posterior,90
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,driving,action_1,100,prior,24
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,driving,action_1,100,posterior,17
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,soup,action_2,50,prior,54
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,soup,action_2,50,posterior,79
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,brunch,action_2,50,prior,44
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,brunch,action_2,50,posterior,64
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,oysters,action_1,100,prior,52
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,oysters,action_1,100,posterior,40
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,birthday,action_2,0,prior,43
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,birthday,action_2,0,posterior,92
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,takeout,action_2,75,prior,61
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,takeout,action_2,75,posterior,87
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,apples,action_1,0,prior,44
fe8634ae-2ed6-5de3-a8bc-ebe9cea350f7,apples,action_1,0,posterior,8
8c4ca840-75c9-5650-ab52-460cf83d4646,hike,action_2,0,prior,49
8c4ca840-75c9-5650-ab52-460cf83d4646,hike,action_2,0,posterior,100
8c4ca840-75c9-5650-ab52-460cf83d4646,dip,action_1,100,prior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,dip,action_1,100,posterior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,wedding,action_2,0,prior,100
8c4ca840-75c9-5650-ab52-460cf83d4646,wedding,action_2,0,posterior,100
8c4ca840-75c9-5650-ab52-460cf83d4646,fair,action_1,75,prior,100
8c4ca840-75c9-5650-ab52-460cf83d4646,fair,action_1,75,posterior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,apples,action_1,75,prior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,apples,action_1,75,posterior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,social,action_2,75,prior,100
8c4ca840-75c9-5650-ab52-460cf83d4646,social,action_2,75,posterior,100
8c4ca840-75c9-5650-ab52-460cf83d4646,brunch,action_2,100,prior,1
8c4ca840-75c9-5650-ab52-460cf83d4646,brunch,action_2,100,posterior,100
8c4ca840-75c9-5650-ab52-460cf83d4646,birthday,action_2,75,prior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,birthday,action_2,75,posterior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,oysters,action_2,50,prior,4
8c4ca840-75c9-5650-ab52-460cf83d4646,oysters,action_2,50,posterior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,driving,action_1,50,prior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,driving,action_1,50,posterior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,gala,action_1,100,prior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,gala,action_1,100,posterior,4
8c4ca840-75c9-5650-ab52-460cf83d4646,soup,action_2,100,prior,4
8c4ca840-75c9-5650-ab52-460cf83d4646,soup,action_2,100,posterior,2
8c4ca840-75c9-5650-ab52-460cf83d4646,drinks,action_1,0,prior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,drinks,action_1,0,posterior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,cooking,action_1,50,prior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,cooking,action_1,50,posterior,0
8c4ca840-75c9-5650-ab52-460cf83d4646,basketball,action_2,50,prior,93
8c4ca840-75c9-5650-ab52-460cf83d4646,basketball,action_2,50,posterior,100
8c4ca840-75c9-5650-ab52-460cf83d4646,takeout,action_1,0,prior,100
8c4ca840-75c9-5650-ab52-460cf83d4646,takeout,action_1,0,posterior,0
