subject_id,scenario_label,closeness_condition,closeness,action,likert_rating,p_action
4e70ab6c-08df-50a1-bce0-6269c2996b70,crabs,close,2,0,3,0.1875
4e70ab6c-08df-50a1-bce0-6269c2996b70,crabs,close,2,1,6,0.375
4e70ab6c-08df-50a1-bce0-6269c2996b70,crabs,close,2,2,3,0.1875
4e70ab6c-08df-50a1-bce0-6269c2996b70,crabs,close,2,3,4,0.25
4e70ab6c-08df-50a1-bce0-6269c2996b70,cooking,somewhat_close,1,0,2,0.14285714285714285
4e70ab6c-08df-50a1-bce0-6269c2996b70,cooking,somewhat_close,1,1,5,0.35714285714285715
4e70ab6c-08df-50a1-bce0-6269c2996b70,cooking,somewhat_close,1,2,3,0.21428571428571427
4e70ab6c-08df-50a1-bce0-6269c2996b70,cooking,somewhat_close,1,3,4,0.2857142857142857
4e70ab6c-08df-50a1-bce0-6269c2996b70,social,not_close,0,0,4,0.4
4e70ab6c-08df-50a1-bce0-6269c2996b70,social,not_close,0,1,2,0.2
4e70ab6c-08df-50a1-bce0-6269c2996b70,social,not_close,0,2,3,0.3
4e70ab6c-08df-50a1-bce0-6269c2996b70,social,not_close,0,3,1,0.1
4e70ab6c-08df-50a1-bce0-6269c2996b70,driving,close,2,0,5,0.23809523809523808
4e70ab6c-08df-50a1-bce0-6269c2996b70,driving,close,2,1,5,0.23809523809523808
4e70ab6c-08df-50a1-bce0-6269c2996b70,driving,close,2,2,5,0.23809523809523808
4e70ab6c-08df-50a1-bce0-6269c2996b70,driving,close,2,3,6,0.2857142857142857
4e70ab6c-08df-50a1-bce0-6269c2996b70,fair,extremely_close,3,0,7,0.2692307692307692
4e70ab6c-08df-50a1-bce0-6269c2996b70,fair,extremely_close,3,1,7,0.2692307692307692
4e70ab6c-08df-50a1-bce0-6269c2996b70,fair,extremely_close,3,2,6,0.23076923076923078
4e70ab6c-08df-50a1-bce0-6269c2996b70,fair,extremely_close,3,3,6,0.23076923076923078
4e70ab6c-08df-50a1-bce0-6269c2996b70,gala,extremely_close,3,0,1,0.047619047619047616
4e70ab6c-08df-50a1-bce0-6269c2996b70,gala,extremely_close,3,1,7,0.3333333333333333
4e70ab6c-08df-50a1-bce0-6269c2996b70,gala,extremely_close,3,2,7,0.3333333333333333
4e70ab6c-08df-50a1-bce0-6269c2996b70,gala,extremely_close,3,3,6,0.2857142857142857
4e70ab6c-08df-50a1-bce0-6269c2996b70,hike,extremely_close,3,0,5,0.25
4e70ab6c-08df-50a1-bce0-6269c2996b70,hike,extremely_close,3,1,5,0.25
4e70ab6c-08df-50a1-bce0-6269c2996b70,hike,extremely_close,3,2,5,0.25
4e70ab6c-08df-50a1-bce0-6269c2996b70,hike,extremely_close,3,3,5,0.25
4e70ab6c-08df-50a1-bce0-6269c2996b70,birthday,somewhat_close,1,0,4,0.2
4e70ab6c-08df-50a1-bce0-6269c2996b70,birthday,somewhat_close,1,1,6,0.3
4e70ab6c-08df-50a1-bce0-6269c2996b70,birthday,somewhat_close,1,2,6,0.3
4e70ab6c-08df-50a1-bce0-6269c2996b70,birthday,somewhat_close,1,3,4,0.2
4e70ab6c-08df-50a1-bce0-6269c2996b70,brunch,somewhat_close,1,0,5,0.2631578947368421
4e70ab6c-08df-50a1-bce0-6269c2996b70,brunch,somewhat_close,1,1,6,0.3157894736842105
4e70ab6c-08df-50a1-bce0-6269c2996b70,brunch,somewhat_close,1,2,3,0.15789473684210525
4e70ab6c-08df-50a1-bce0-6269c2996b70,brunch,somewhat_close,1,3,5,0.2631578947368421
4e70ab6c-08df-50a1-bce0-6269c2996b70,wedding,not_close,0,0,6,0.5
4e70ab6c-08df-50a1-bce0-6269c2996b70,wedding,not_close,0,1,3,0.25
4e70ab6c-08df-50a1-bce0-6269c2996b70,wedding,not_close,0,2,2,0.16666666666666666
4e70ab6c-08df-50a1-bce0-6269c2996b70,wedding,not_close,0,3,1,0.08333333333333333
4e70ab6c-08df-50a1-bce0-6269c2996b70,soup,not_close,0,0,7,0.5384615384615384
4e70ab6c-08df-50a1-bce0-6269c2996b70,soup,not_close,0,1,3,0.23076923076923078
4e70ab6c-08df-50a1-bce0-6269c2996b70,soup,not_close,0,2,2,0.15384615384615385
4e70ab6c-08df-50a1-bce0-6269c2996b70,soup,not_close,0,3,1,0.07692307692307693
4e70ab6c-08df-50a1-bce0-6269c2996b70,dip,close,2,0,5,0.3333333333333333
4e70ab6c-08df-50a1-bce0-6269c2996b70,dip,close,2,1,4,0.26666666666666666
4e70ab6c-08df-50a1-bce0-6269c2996b70,dip,close,2,2,4,0.26666666666666666
4e70ab6c-08df-50a1-bce0-6269c2996b70,dip,close,2,3,2,0.13333333333333333
4e70ab6c-08df-50a1-bce0-6269c2996b70,basketball,not_close,0,0,6,0.5
4e70ab6c-08df-50a1-bce0-6269c2996b70,basketball,not_close,0,1,4,0.3333333333333333
4e70ab6c-08df-50a1-bce0-6269c2996b70,basketball,not_close,0,2,1,0.08333333333333333
4e70ab6c-08df-50a1-bce0-6269c2996b70,basketball,not_close,0,3,1,0.08333333333333333
4e70ab6c-08df-50a1-bce0-6269c2996b70,oysters,extremely_close,3,0,1,0.058823529411764705
4e70ab6c-08df-50a1-bce0-6269c2996b70,oysters,extremely_close,3,1,6,0.35294117647058826
4e70ab6c-08df-50a1-bce0-6269c2996b70,oysters,extremely_close,3,2,4,0.23529411764705882
4e70ab6c-08df-50a1-bce0-6269c2996b70,oysters,extremely_close,3,3,6,0.35294117647058826
4e70ab6c-08df-50a1-bce0-6269c2996b70,drinks,close,2,0,5,0.2631578947368421
4e70ab6c-08df-50a1-bce0-6269c2996b70,drinks,close,2,1,6,0.3157894736842105
4e70ab6c-08df-50a1-bce0-6269c2996b70,drinks,close,2,2,5,0.2631578947368421
4e70ab6c-08df-50a1-bce0-6269c2996b70,drinks,close,2,3,3,0.15789473684210525
4e70ab6c-08df-50a1-bce0-6269c2996b70,conference,somewhat_close,1,0,5,0.38461538461538464
4e70ab6c-08df-50a1-bce0-6269c2996b70,conference,somewhat_close,1,1,6,0.46153846153846156
4e70ab6c-08df-50a1-bce0-6269c2996b70,conference,somewhat_close,1,2,1,0.07692307692307693
4e70ab6c-08df-50a1-bce0-6269c2996b70,conference,somewhat_close,1,3,1,0.07692307692307693
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,gala,extremely_close,3,0,6,0.4
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,gala,extremely_close,3,1,6,0.4
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,gala,extremely_close,3,2,2,0.13333333333333333
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,gala,extremely_close,3,3,1,0.06666666666666667
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,crabs,not_close,0,0,3,0.2727272727272727
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,crabs,not_close,0,1,5,0.45454545454545453
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,crabs,not_close,0,2,1,0.09090909090909091
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,crabs,not_close,0,3,2,0.18181818181818182
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,wedding,not_close,0,0,5,0.3333333333333333
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,wedding,not_close,0,1,6,0.4
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,wedding,not_close,0,2,2,0.13333333333333333
